Family	Cup	R1up	R2up	Cdown	R1down	R2down	Cintron	R1intron	R2intron	Cexon	R1exon	R2exon	intergenic	up	down	intronic	exonic
DcSat1	1	17	16	0	18	21	0	4	8	0	4	8	8625	493	487	95	119
DNA	84	119	139	97	116	116	61	91	139	59	47	39	9759	3715	3635	4451	2067
LINE	16	23	50	6	25	45	5	15	30	14	11	28	1844	971	941	1008	783
Low_complexity	67	69	77	63	71	77	65	85	116	37	16	20	7335	2059	2049	3181	587
LTR	19	24	57	21	29	46	5	19	29	17	22	25	2567	1296	1321	1015	921
RC/Helitron	31	52	69	47	55	74	58	52	118	17	15	9	6354	2314	2389	3431	360
Satellite	5	1	0	1	0	0	0	0	0	3	0	0	3	22	25	23	49
Simple_repeat	271	333	324	294	296	300	269	335	444	261	157	103	39243	9571	9519	12991	3656
SINE	10	7	4	2	3	6	2	4	5	1	0	0	239	138	142	136	5
Unknown	175	186	182	184	146	153	92	96	203	37	30	44	16415	5698	5810	5704	1035
