TrinityID	GeneID	GEP_id	Dcor_v3_gene_id	DEO
TRINITY_GG_715_c13_g1	Dcor_evm.model.ctg28_len_882067.70	GEP9	Dcor_evm.model.contig_88_pilon.1	Dcor_evm.model.contig_88_pilon.1
TRINITY_GG_1090_c2_g1	Dcor_evm.model.ctg26_len_927114.27	GEP17	Dcor_evm.model.hic_scaffold_1_pilon.10	Dcor_evm.model.hic_scaffold_1_pilon.10
TRINITY_GG_1090_c42_g1	Dcor_evm.model.ctg26_len_927114.121	GEP17	Dcor_evm.model.hic_scaffold_1_pilon.103	Dcor_evm.model.hic_scaffold_1_pilon.103
TRINITY_GG_594_c21_g1	Dcor_evm.model.scaffold5_size806535.58	GEP17	Dcor_evm.model.hic_scaffold_1_pilon.1047	NA
TRINITY_GG_594_c63_g1	Dcor_evm.model.scaffold5_size806535.32	GEP9	Dcor_evm.model.hic_scaffold_1_pilon.1070	NA
TRINITY_GG_594_c2_g1	Dcor_evm.model.scaffold5_size806535.30	GEP9	Dcor_evm.model.hic_scaffold_1_pilon.1073	Dcor_evm.model.hic_scaffold_1_pilon.1073
TRINITY_GG_715_c111_g1	Dcor_evm.model.ctg28_len_882067.240	GEP9	Dcor_evm.model.hic_scaffold_1_pilon.1138	Dcor_evm.model.hic_scaffold_1_pilon.1138
TRINITY_GG_715_c493_g1	Dcor_evm.model.ctg28_len_882067.229	GEP9	Dcor_evm.model.hic_scaffold_1_pilon.1149	Dcor_evm.model.hic_scaffold_1_pilon.1149
TRINITY_GG_1090_c31_g1	Dcor_evm.model.ctg26_len_927114.153	GEP17	Dcor_evm.model.hic_scaffold_1_pilon.136	Dcor_evm.model.hic_scaffold_1_pilon.136
TRINITY_GG_1090_c20_g1	Dcor_evm.model.ctg26_len_927114.33	GEP9	Dcor_evm.model.hic_scaffold_1_pilon.16	Dcor_evm.model.hic_scaffold_1_pilon.16
TRINITY_GG_1090_c105_g1	Dcor_evm.model.ctg26_len_927114.34	GEP9	Dcor_evm.model.hic_scaffold_1_pilon.17	Dcor_evm.model.hic_scaffold_1_pilon.17
TRINITY_GG_137_c57_g1	Dcor_evm.model.ctg4_len_2496752.189	GEP9	Dcor_evm.model.hic_scaffold_1_pilon.171	Dcor_evm.model.hic_scaffold_1_pilon.171
TRINITY_GG_137_c190_g1	Dcor_evm.model.ctg4_len_2496752.193	GEP9	Dcor_evm.model.hic_scaffold_1_pilon.175	Dcor_evm.model.hic_scaffold_1_pilon.175
TRINITY_GG_137_c129_g1	Dcor_evm.model.ctg4_len_2496752.205	GEP17	Dcor_evm.model.hic_scaffold_1_pilon.187	Dcor_evm.model.hic_scaffold_1_pilon.187
TRINITY_GG_137_c396_g1	Dcor_evm.model.ctg4_len_2496752.216	GEP17	Dcor_evm.model.hic_scaffold_1_pilon.198	NA
TRINITY_GG_137_c88_g1	Dcor_evm.model.ctg4_len_2496752.237	GEP17	Dcor_evm.model.hic_scaffold_1_pilon.219	Dcor_evm.model.hic_scaffold_1_pilon.219
TRINITY_GG_137_c80_g1	Dcor_evm.model.ctg4_len_2496752.253	GEP9	Dcor_evm.model.hic_scaffold_1_pilon.233	Dcor_evm.model.hic_scaffold_1_pilon.233
TRINITY_GG_137_c11_g1	Dcor_evm.model.ctg4_len_2496752.257	GEP9	Dcor_evm.model.hic_scaffold_1_pilon.237	Dcor_evm.model.hic_scaffold_1_pilon.237
TRINITY_GG_137_c146_g1	Dcor_evm.model.ctg4_len_2496752.272	GEP9	Dcor_evm.model.hic_scaffold_1_pilon.254	Dcor_evm.model.hic_scaffold_1_pilon.254
TRINITY_GG_137_c289_g1	Dcor_evm.model.ctg4_len_2496752.306	GEP17	Dcor_evm.model.hic_scaffold_1_pilon.286	Dcor_evm.model.hic_scaffold_1_pilon.286
TRINITY_GG_137_c203_g1	Dcor_evm.model.ctg4_len_2496752.308	GEP17	Dcor_evm.model.hic_scaffold_1_pilon.288	Dcor_evm.model.hic_scaffold_1_pilon.288
TRINITY_GG_137_c180_g1	Dcor_evm.model.ctg4_len_2496752.324	GEP9	Dcor_evm.model.hic_scaffold_1_pilon.304	Dcor_evm.model.hic_scaffold_1_pilon.304
TRINITY_GG_137_c25_g1	Dcor_evm.model.ctg4_len_2496752.325	GEP17	Dcor_evm.model.hic_scaffold_1_pilon.305	Dcor_evm.model.hic_scaffold_1_pilon.305
TRINITY_GG_137_c204_g1	Dcor_evm.model.ctg4_len_2496752.333	GEP9	Dcor_evm.model.hic_scaffold_1_pilon.314	Dcor_evm.model.hic_scaffold_1_pilon.314
TRINITY_GG_137_c85_g1	Dcor_evm.model.ctg4_len_2496752.336	GEP17	Dcor_evm.model.hic_scaffold_1_pilon.317	Dcor_evm.model.hic_scaffold_1_pilon.317
