sample	condition	segment	batch	machine	ext_method	company	reads
22503	control	seg6	1	HiSeq_2500	NEBnext	caltech	single
22505	control	seg6	1	HiSeq_2500	NEBnext	caltech	single
22507	control	seg6	1	HiSeq_2500	NEBnext	caltech	single
22513	control	seg6	1	HiSeq_2500	NEBnext	caltech	single
22510	control	seg6	1	HiSeq_2500	NEBnext	caltech	single
25	control	seg6	2	NextSeq_2000	NEBnext	caltech	paired
26	control	seg6	2	NextSeq_2000	NEBnext	caltech	paired
27	D1	seg7	2	NextSeq_2000	NEBnext	caltech	paired
29	D1	seg7	2	NextSeq_2000	NEBnext	caltech	paired
30	D1	seg7	2	NextSeq_2000	NEBnext	caltech	paired
31	D1	seg7	2	NextSeq_2000	NEBnext	caltech	paired
32	D1	seg7	2	NextSeq_2000	NEBnext	caltech	paired
22508	D1	seg7	1	HiSeq_2500	NEBnext	caltech	single
22512	D1	seg7	1	HiSeq_2500	NEBnext	caltech	single
22504	D2	seg7	1	HiSeq_2500	NEBnext	caltech	single
22506	D2	seg7	1	HiSeq_2500	NEBnext	caltech	single
22509	D2	seg7	1	HiSeq_2500	NEBnext	caltech	single
22511	D2	seg7	1	HiSeq_2500	NEBnext	caltech	single
22514	D2	seg7	1	HiSeq_2500	NEBnext	caltech	single
