,X,Unnamed..0,compound,data,start,stop,area,area_linkpoint,RNAi,Gene,Vial,ratio,ng_uL,ng
1,0,0,pBQ,./230312MZXML/RNAi 13_3122023_62.mzXML,4.045,4.085,350019,343957.74,RNAi,13,62,0.111347473,0.556737365,38.97161557
57,56,56,meBQ,./230312MZXML/RNAi 13_3122023_62.mzXML,4.685,4.75,230596,225758.8325,RNAi,13,62,0.073356823,0.366784116,25.67488812
113,112,112,C11:1,./230312MZXML/RNAi 13_3122023_62.mzXML,5.12,5.16,96294,93316.005,RNAi,13,62,0.002115447,0.010577235,0.740406427
169,168,168,C11,./230312MZXML/RNAi 13_3122023_62.mzXML,5.165,5.26,16734812,16701568.03,RNAi,13,62,0.367640837,1.838204184,128.6742929
225,224,224,dimeBQ,./230312MZXML/RNAi 13_3122023_62.mzXML,5.295,5.37,3143484,3128726.14,RNAi,13,62,1,5,350
281,280,280,memeOBQ,./230312MZXML/RNAi 13_3122023_62.mzXML,5.705,5.795,1895223,1888082.24,RNAi,13,62,0.602905248,3.014526239,211.0168367
337,336,336,ethyl decanoate,./230312MZXML/RNAi 13_3122023_62.mzXML,6.78,6.86,2156244,2146844.575,RNAi,13,62,0.047369719,0.236848597,16.57940179
393,392,392,isopropyl decanoate,./230312MZXML/RNAi 13_3122023_62.mzXML,6.935,7.015,77028,71419.985,RNAi,13,62,0.001692199,0.008460997,0.592269781
449,448,448,ethyl dodecanoate,./230312MZXML/RNAi 13_3122023_62.mzXML,7.71,7.815,824008,817230.0825,RNAi,13,62,0.018102324,0.090511621,6.335813438
505,504,504,isopropyl dodecanoate,./230312MZXML/RNAi 13_3122023_62.mzXML,7.84,7.93,166292,160933.76,RNAi,13,62,0.003653207,0.018266034,1.278622402
561,560,560,C18,./230312MZXML/RNAi 13_3122023_62.mzXML,8.575,8.655,45519459,45432520.65,RNAi,13,62,1,5,350
2,1,1,pBQ,./230312MZXML/RNAi 13_3122023_86.mzXML,4.045,4.085,431618,423626.03,RNAi,13,86,0.110469152,0.552345759,38.66420314
58,57,57,meBQ,./230312MZXML/RNAi 13_3122023_86.mzXML,4.685,4.75,383152,376183.63,RNAi,13,86,0.098064669,0.490323347,34.32263428
114,113,113,C11:1,./230312MZXML/RNAi 13_3122023_86.mzXML,5.12,5.16,185710,181070.0325,RNAi,13,86,0.002251453,0.011257265,0.788008542
170,169,169,C11,./230312MZXML/RNAi 13_3122023_86.mzXML,5.165,5.26,23229417,23204217.05,RNAi,13,86,0.281621561,1.408107803,98.56754623
226,225,225,dimeBQ,./230312MZXML/RNAi 13_3122023_86.mzXML,5.295,5.37,3907136,3891059.345,RNAi,13,86,1,5,350
282,281,281,memeOBQ,./230312MZXML/RNAi 13_3122023_86.mzXML,5.705,5.795,3220976,3212573.623,RNAi,13,86,0.824382873,4.121914364,288.5340055
338,337,337,ethyl decanoate,./230312MZXML/RNAi 13_3122023_86.mzXML,6.78,6.86,3407313,3394974.38,RNAi,13,86,0.041308519,0.206542593,14.45798152
394,393,393,isopropyl decanoate,./230312MZXML/RNAi 13_3122023_86.mzXML,6.935,7.015,89960,83101.89,RNAi,13,86,0.001090629,0.005453145,0.381720146
450,449,449,ethyl dodecanoate,./230312MZXML/RNAi 13_3122023_86.mzXML,7.71,7.815,1689560,1680911.58,RNAi,13,86,0.020483361,0.102416803,7.169176196
506,505,505,isopropyl dodecanoate,./230312MZXML/RNAi 13_3122023_86.mzXML,7.84,7.93,240235,233626.72,RNAi,13,86,0.002912486,0.014562431,1.019370158
562,561,561,C18,./230312MZXML/RNAi 13_3122023_86.mzXML,8.575,8.655,82484512,82333117.86,RNAi,13,86,1,5,350
3,2,2,pBQ,./230312MZXML/RNAi 13_3122023_46.mzXML,4.045,4.085,394511,387367.745,RNAi,13,46,0.124800151,0.624000757,43.68005297
59,58,58,meBQ,./230312MZXML/RNAi 13_3122023_46.mzXML,4.685,4.75,312162,306609.69,RNAi,13,46,0.098749756,0.493748778,34.56241447
