,X,Unnamed..0,compound,data,start,stop,area,area_linkpoint,RNAi,Gene,Vial,Total,ratio,ng_uL,ng
1,7,7,pBQ,./20221031_DCor_RNAi/GFP2_1112022_48.mzXML,4.046208107,4.086154331,4497921,4479900.445,GFP,2,48,GFP,0.196304428,0.981522139,68.70654975
15,109,109,meBQ,./20221031_DCor_RNAi/GFP2_1112022_48.mzXML,4.685347691,4.750260305,25917159,25903477.38,GFP,2,48,GFP,1.131112145,5.655560724,395.8892507
29,211,211,C11:1,./20221031_DCor_RNAi/GFP2_1112022_48.mzXML,5.119762878,5.159709102,1046383,1036459.415,GFP,2,48,GFP,0.013179715,0.065898573,4.612900115
43,313,313,C11,./20221031_DCor_RNAi/GFP2_1112022_48.mzXML,5.16470238,5.259574662,386159194,386132210.7,GFP,2,48,GFP,4.863867219,24.3193361,1702.353527
57,415,415,dimeBQ,./20221031_DCor_RNAi/GFP2_1112022_48.mzXML,5.294527608,5.369426778,22912988,22889735.47,GFP,2,48,GFP,1,5,350
71,517,517,memeOBQ,./20221031_DCor_RNAi/GFP2_1112022_48.mzXML,5.703976404,5.793855408,9294619,9283116.163,GFP,2,48,GFP,0.405648491,2.028242454,141.9769718
85,619,619,ethyl decanoate,./20221031_DCor_RNAi/GFP2_1112022_48.mzXML,6.777531175,6.857423623,86177678,86159243.94,GFP,2,48,GFP,1.08545074,5.427253702,379.9077591
99,721,721,isopropyl decanoate,./20221031_DCor_RNAi/GFP2_1112022_48.mzXML,6.932322793,7.012215241,1514567,1498836.613,GFP,2,48,GFP,0.019076725,0.095383625,6.676853779
113,823,823,ethyl dodecanoate,./20221031_DCor_RNAi/GFP2_1112022_48.mzXML,7.706280884,7.811139722,4728828,4718774,GFP,2,48,GFP,0.059561942,0.29780971,20.84667968
127,925,925,isopropyl dodecanoate,./20221031_DCor_RNAi/GFP2_1112022_48.mzXML,7.836106112,7.925985116,341795,333980.44,GFP,2,48,GFP,0.004305078,0.021525391,1.506777341
141,1027,1027,C18,./20221031_DCor_RNAi/GFP2_1112022_48.mzXML,8.570117979,8.650010427,79393449,79372510.8,GFP,2,48,GFP,1,5,350
2,15,15,pBQ,./20221031_DCor_RNAi/GFP2_1112022_55.mzXML,4.046693431,4.086635036,717619,704212.32,GFP,2,55,GFP,0.03012829,0.150641452,10.54490164
16,117,117,meBQ,./20221031_DCor_RNAi/GFP2_1112022_55.mzXML,4.685759124,4.750664234,5539227,5527830.51,GFP,2,55,GFP,0.232557164,1.162785821,81.39500745
30,219,219,C11:1,./20221031_DCor_RNAi/GFP2_1112022_55.mzXML,5.120124088,5.160065693,267191,261360.4375,GFP,2,55,GFP,0.003200287,0.016001435,1.120100444
44,321,321,C11,./20221031_DCor_RNAi/GFP2_1112022_55.mzXML,5.165058394,5.259919708,57429884,57410851.57,GFP,2,55,GFP,0.687867893,3.439339463,240.7537624
58,423,423,dimeBQ,./20221031_DCor_RNAi/GFP2_1112022_55.mzXML,5.294868613,5.369759124,23818776,23790560.93,GFP,2,55,GFP,1,5,350
72,525,525,memeOBQ,./20221031_DCor_RNAi/GFP2_1112022_55.mzXML,5.704270073,5.794138686,3644052,3633124.145,GFP,2,55,GFP,0.152990733,0.764953665,53.54675656
86,627,627,ethyl decanoate,./20221031_DCor_RNAi/GFP2_1112022_55.mzXML,6.77770073,6.857583942,5357478,5345604.75,GFP,2,55,GFP,0.064169329,0.320846643,22.45926504
100,729,729,isopropyl decanoate,./20221031_DCor_RNAi/GFP2_1112022_55.mzXML,6.932474453,7.012357664,395037,384911.85,GFP,2,55,GFP,0.004731566,0.023657828,1.656047992
114,831,831,ethyl dodecanoate,./20221031_DCor_RNAi/GFP2_1112022_55.mzXML,7.706343066,7.811189781,1740208,1729370,GFP,2,55,GFP,0.020843385,0.104216927,7.295184915
128,933,933,isopropyl dodecanoate,./20221031_DCor_RNAi/GFP2_1112022_55.mzXML,7.836153285,7.926021898,376738,368689.18,GFP,2,55,GFP,0.004512389,0.022561945,1.579336134
142,1035,1035,C18,./20221031_DCor_RNAi/GFP2_1112022_55.mzXML,8.570080292,8.649963504,83489700,83453375.95,GFP,2,55,GFP,1,5,350
3,16,16,pBQ,./20221031_DCor_RNAi/GFP11_1112022_98.mzXML,4.046693431,4.086635036,1653876,1637365.188,GFP,11,98,GFP,0.056347199,0.281735996,19.72151971
17,118,118,meBQ,./20221031_DCor_RNAi/GFP11_1112022_98.mzXML,4.685759124,4.750664234,19744811,19730422.34,GFP,11,98,GFP,0.672701459,3.363507295,235.4455106
31,220,220,C11:1,./20221031_DCor_RNAi/GFP11_1112022_98.mzXML,5.120124088,5.160065693,1309972,1299733.31,GFP,11,98,GFP,0.012602537,0.063012685,4.41088797
45,322,322,C11,./20221031_DCor_RNAi/GFP11_1112022_98.mzXML,5.165058394,5.259919708,348286384,348255872.4,GFP,11,98,GFP,3.350676244,16.75338122,1172.736686
59,424,424,dimeBQ,./20221031_DCor_RNAi/GFP11_1112022_98.mzXML,5.294868613,5.369759124,29351521,29317498.62,GFP,11,98,GFP,1,5,350
73,526,526,memeOBQ,./20221031_DCor_RNAi/GFP11_1112022_98.mzXML,5.704270073,5.794138686,10249355,10235551.26,GFP,11,98,GFP,0.349193318,1.745966589,122.2176612
87,628,628,ethyl decanoate,./20221031_DCor_RNAi/GFP11_1112022_98.mzXML,6.77770073,6.857583942,71652891,71634390.23,GFP,11,98,GFP,0.689333981,3.446669907,241.2668935
101,730,730,isopropyl decanoate,./20221031_DCor_RNAi/GFP11_1112022_98.mzXML,6.932474453,7.012357664,1123901,1107216.313,GFP,11,98,GFP,0.010812448,0.05406224,3.784356766
115,832,832,ethyl dodecanoate,./20221031_DCor_RNAi/GFP11_1112022_98.mzXML,7.706343066,7.811189781,4742020,4729782.05,GFP,11,98,GFP,0.045620428,0.228102138,15.96714966
129,934,934,isopropyl dodecanoate,./20221031_DCor_RNAi/GFP11_1112022_98.mzXML,7.836153285,7.926021898,419189,409902.6225,GFP,11,98,GFP,0.004032792,0.020163961,1.411477282
143,1036,1036,C18,./20221031_DCor_RNAi/GFP11_1112022_98.mzXML,8.570080292,8.649963504,103945102,103893795,GFP,11,98,GFP,1,5,350
4,22,22,pBQ,./20221031_DCor_RNAi/GFP2_1112022_57.mzXML,4.046693431,4.086635036,317096,304075.9125,GFP,2,57,GFP,0.012743648,0.06371824,4.460276793
18,124,124,meBQ,./20221031_DCor_RNAi/GFP2_1112022_57.mzXML,4.685759124,4.750664234,9547861,9535352.83,GFP,2,57,GFP,0.383715277,1.918576386,134.300347
32,226,226,C11:1,./20221031_DCor_RNAi/GFP2_1112022_57.mzXML,5.120124088,5.160065693,59151,54174.7525,GFP,2,57,GFP,0.000730955,0.003654777,0.255834402
46,328,328,C11,./20221031_DCor_RNAi/GFP2_1112022_57.mzXML,5.165058394,5.259919708,17777126,17760708.29,GFP,2,57,GFP,0.219679919,1.098399594,76.8879716
60,430,430,dimeBQ,./20221031_DCor_RNAi/GFP2_1112022_57.mzXML,5.294868613,5.369759124,24882671,24854068.06,GFP,2,57,GFP,1,5,350
74,532,532,memeOBQ,./20221031_DCor_RNAi/GFP2_1112022_57.mzXML,5.704270073,5.794138686,5186938,5174307.383,GFP,2,57,GFP,0.208455837,1.042279183,72.95954281
88,634,634,ethyl decanoate,./20221031_DCor_RNAi/GFP2_1112022_57.mzXML,6.77770073,6.857583942,3441971,3430486.138,GFP,2,57,GFP,0.042533979,0.212669897,14.88689277
102,736,736,isopropyl decanoate,./20221031_DCor_RNAi/GFP2_1112022_57.mzXML,6.932474453,7.012357664,854149,843964.9,GFP,2,57,GFP,0.010555102,0.052775511,3.694285795
116,838,838,ethyl dodecanoate,./20221031_DCor_RNAi/GFP2_1112022_57.mzXML,7.706343066,7.811189781,1829238,1818613,GFP,2,57,GFP,0.022604714,0.113023572,7.911650027
130,940,940,isopropyl dodecanoate,./20221031_DCor_RNAi/GFP2_1112022_57.mzXML,7.836153285,7.926021898,298830,290774.38,GFP,2,57,GFP,0.003692776,0.018463882,1.292471716
