Unnamed..0,compound,data,start,stop,area,area_linkpoint,RNAi,Gene,Vial,Total,ratio,ng_uL,ng
17,pBQ,GFP3_12132022_103.mzXML,4.045,4.085,2666981,2645135.03,GFP,3,103,GFP,0.168532097,0.842660485,58.98623398
115,meBQ,GFP3_12132022_103.mzXML,4.685,4.75,44773201,44755062.19,GFP,3,103,GFP,2.829312042,14.14656021,990.2592146
213,C11:1,GFP3_12132022_103.mzXML,5.12,5.16,2305681,2293628.83,GFP,3,103,GFP,0.027352852,0.136764261,9.57349829
311,C11,GFP3_12132022_103.mzXML,5.165,5.26,575184112,575110571.4,GFP,3,103,GFP,6.82354846,34.1177423,2388.241961
409,dimeBQ,GFP3_12132022_103.mzXML,5.295,5.37,15824766,15791214.76,GFP,3,103,GFP,1,5,350
507,memeOBQ,GFP3_12132022_103.mzXML,5.705,5.795,25011458,24983115.36,GFP,3,103,GFP,1.580526246,7.90263123,553.1841861
605,ethyl decanoate,GFP3_12132022_103.mzXML,6.78,6.86,11646382,11631292.94,GFP,3,103,GFP,0.138163851,0.690819255,48.35734786
703,isopropyl decanoate,GFP3_12132022_103.mzXML,6.935,7.015,38902222,38864920.96,GFP,3,103,GFP,0.461506484,2.307532419,161.5272693
801,ethyl dodecanoate,GFP3_12132022_103.mzXML,7.71,7.815,2095950,2083818.5,GFP,3,103,GFP,0.024864763,0.124323813,8.702666909
899,isopropyl dodecanoate,GFP3_12132022_103.mzXML,7.84,7.93,1180654,1170919.8,GFP,3,103,GFP,0.014006384,0.070031922,4.902234546
997,C18,GFP3_12132022_103.mzXML,8.575,8.655,84293988,84246650.99,GFP,3,103,GFP,1,5,350
22,pBQ,GFP3_12132022_101.mzXML,4.045,4.085,5018967,4988460.06,GFP,3,101,GFP,0.314256638,1.571283191,109.9898234
120,meBQ,GFP3_12132022_101.mzXML,4.685,4.75,57683428,57663437.4,GFP,3,101,GFP,3.61177911,18.05889555,1264.122689
218,C11:1,GFP3_12132022_101.mzXML,5.12,5.16,2638685,2624905.88,GFP,3,101,GFP,0.031122739,0.155613693,10.89295852
316,C11,GFP3_12132022_101.mzXML,5.165,5.26,611040057,610952766.8,GFP,3,101,GFP,7.207089889,36.03544945,2522.481461
414,dimeBQ,GFP3_12132022_101.mzXML,5.295,5.37,15970918,15937515.83,GFP,3,101,GFP,1,5,350
512,memeOBQ,GFP3_12132022_101.mzXML,5.705,5.795,38350507,38305224.2,GFP,3,101,GFP,2.401271298,12.00635649,840.4449544
610,ethyl decanoate,GFP3_12132022_101.mzXML,6.78,6.86,304172928,304020605,GFP,3,101,GFP,3.587656175,17.93828088,1255.679661
708,isopropyl decanoate,GFP3_12132022_101.mzXML,6.935,7.015,3779271,3747934.38,GFP,3,101,GFP,0.044575712,0.222878562,15.60149932
806,ethyl dodecanoate,GFP3_12132022_101.mzXML,7.71,7.815,22694109,22678551.94,GFP,3,101,GFP,0.267672277,1.338361386,93.68529702
904,isopropyl dodecanoate,GFP3_12132022_101.mzXML,7.84,7.93,598359,588072.44,GFP,3,101,GFP,0.007057519,0.035287597,2.470131814
1002,C18,GFP3_12132022_101.mzXML,8.575,8.655,84783188,84736599.05,GFP,3,101,GFP,1,5,350
37,pBQ,GFP3_12132022_104.mzXML,4.051688596,4.091630117,4423241,4387828.823,GFP,3,104,GFP,0.27301899,1.365094952,95.55664663
135,meBQ,GFP3_12132022_104.mzXML,4.690752924,4.755657895,51498338,51452161.46,GFP,3,104,GFP,3.178670176,15.89335088,1112.534561
233,C11:1,GFP3_12132022_104.mzXML,5.125116959,5.16505848,4042926,4025849.535,GFP,3,104,GFP,0.045410327,0.227051635,15.89361443
331,C11,GFP3_12132022_104.mzXML,5.17005117,5.264912281,708334441,707915388,GFP,3,104,GFP,7.956044346,39.78022173,2784.615521
429,dimeBQ,GFP3_12132022_104.mzXML,5.299861111,5.374751462,16201221,16165175.8,GFP,3,104,GFP,1,5,350
527,memeOBQ,GFP3_12132022_104.mzXML,5.709261696,5.799130117,23326890,23298425.71,GFP,3,104,GFP,1.439822961,7.199114807,503.9380365
625,ethyl decanoate,GFP3_12132022_104.mzXML,6.782690058,6.862573099,278738548,278611765,GFP,3,104,GFP,3.130803926,15.65401963,1095.781374
723,isopropyl decanoate,GFP3_12132022_104.mzXML,6.93746345,7.017346491,5119510,5068616.2,GFP,3,104,GFP,0.057502567,0.287512835,20.12589842
821,ethyl dodecanoate,GFP3_12132022_104.mzXML,7.711330409,7.816176901,21162188,21147068.25,GFP,3,104,GFP,0.237694649,1.188473244,83.19312708
919,isopropyl dodecanoate,GFP3_12132022_104.mzXML,7.841140351,7.931008772,637467,626609.3125,GFP,3,104,GFP,0.007160058,0.03580029,2.50602032
1017,C18,GFP3_12132022_104.mzXML,8.575065789,8.65494883,89030982,88982630.97,GFP,3,104,GFP,1,5,350
40,pBQ,GFP3_12132022_100.mzXML,4.046688596,4.086630117,6326996,6291231.775,GFP,3,100,GFP,0.373543801,1.867719006,130.7403304
138,meBQ,GFP3_12132022_100.mzXML,4.685752924,4.750657895,41572210,41555129.65,GFP,3,100,GFP,2.454409857,12.27204928,859.0434498
236,C11:1,GFP3_12132022_100.mzXML,5.120116959,5.16005848,2758389,2746340.723,GFP,3,100,GFP,0.030820304,0.154101521,10.78710649
334,C11,GFP3_12132022_100.mzXML,5.16505117,5.259912281,582616769,582541861.6,GFP,3,100,GFP,6.509751195,32.54875597,2278.412918
432,dimeBQ,GFP3_12132022_100.mzXML,5.294861111,5.369751462,16937762,16900476.36,GFP,3,100,GFP,1,5,350
530,memeOBQ,GFP3_12132022_100.mzXML,5.704261696,5.794130117,26716643,26696010.14,GFP,3,100,GFP,1.577341977,7.886709885,552.069692
628,ethyl decanoate,GFP3_12132022_100.mzXML,6.777690058,6.857573099,5934297,5923179.788,GFP,3,100,GFP,0.066305673,0.331528365,23.20698556
726,isopropyl decanoate,GFP3_12132022_100.mzXML,6.93246345,7.012346491,50465163,50431332.49,GFP,3,100,GFP,0.563862341,2.819311704,197.3518193
824,ethyl dodecanoate,GFP3_12132022_100.mzXML,7.706330409,7.811176901,2142121,2129643.3,GFP,3,100,GFP,0.023934558,0.119672789,8.377095234
922,isopropyl dodecanoate,GFP3_12132022_100.mzXML,7.836140351,7.926008772,1334000,1323312.398,GFP,3,100,GFP,0.01490518,0.074525902,5.216813169
1020,C18,GFP3_12132022_100.mzXML,8.570065789,8.64994883,89499084,89470531.67,GFP,3,100,GFP,1,5,350
63,pBQ,GFP3_12132022_99.mzXML,4.045,4.085,5983544,5948873.69,GFP,3,99,GFP,0.376833195,1.884165974,131.8916182
161,meBQ,GFP3_12132022_99.mzXML,4.685,4.75,46234708,46214813.54,GFP,3,99,GFP,2.911781501,14.5589075,1019.123525
259,C11:1,GFP3_12132022_99.mzXML,5.12,5.16,2546945,2534083.82,GFP,3,99,GFP,0.029160602,0.14580301,10.20621067
357,C11,GFP3_12132022_99.mzXML,5.165,5.26,603604265,603516022.7,GFP,3,99,GFP,6.910814203,34.55407101,2418.784971
455,dimeBQ,GFP3_12132022_99.mzXML,5.295,5.37,15878495,15844406.69,GFP,3,99,GFP,1,5,350
553,memeOBQ,GFP3_12132022_99.mzXML,5.705,5.795,35501661,35458093.68,GFP,3,99,GFP,2.235832867,11.17916434,782.5415035
651,ethyl decanoate,GFP3_12132022_99.mzXML,6.78,6.86,258646017,258506229.1,GFP,3,99,GFP,2.961302084,14.80651042,1036.455729
749,isopropyl decanoate,GFP3_12132022_99.mzXML,6.935,7.015,24236593,24197696.7,GFP,3,99,GFP,0.277490735,1.387453675,97.12175724
847,ethyl dodecanoate,GFP3_12132022_99.mzXML,7.71,7.815,16262393,16247486.55,GFP,3,99,GFP,0.186192151,0.930960756,65.16725289
945,isopropyl dodecanoate,GFP3_12132022_99.mzXML,7.84,7.93,1878997,1867812.72,GFP,3,99,GFP,0.0215131,0.107565502,7.52958514
1043,C18,GFP3_12132022_99.mzXML,8.575,8.655,87341990,87295456.21,GFP,3,99,GFP,1,5,350
67,pBQ,GFP1_12132022_67.mzXML,4.045,4.085,1916697,1899160.965,GFP,1,67,GFP,0.142841195,0.714205973,49.9944181
