treatment	rep	date	survival_1h	eclosed
dcor	1	5/10/2022	1	0
dcor	2	5/10/2022	0	0
dcor	3	5/10/2022	0	0
dcor	4	5/12/2022	0	0
dcor	5	5/12/2022	1	0
dcor	6	5/12/2022	1	0
All_BQ	1	5/10/2022	4	2
All_BQ	2	5/10/2022	0	0
All_BQ	3	5/10/2022	0	0
All_BQ	4	5/12/2022	8	0
All_BQ	5	5/12/2022	8	0
All_BQ	6	5/12/2022	0	0
BQ_powder	1	5/10/2022	9	6
BQ_powder	2	5/10/2022	10	8
BQ_powder	3	5/10/2022	10	8
BQ_powder	4	5/12/2022	10	2
BQ_powder	5	5/12/2022	9	2
BQ_powder	6	5/12/2022	10	5
All	1	5/10/2022	9	7
All	2	5/10/2022	8	8
All	3	5/10/2022	10	7
All	4	5/12/2022	10	6
All	5	5/12/2022	10	10
All	6	5/12/2022	10	10
C13	1	5/10/2022	8	7
C13	2	5/10/2022	7	6
C13	3	5/10/2022	8	1
C13	4	5/12/2022	8	4
C13	5	5/12/2022	10	7
C13	6	5/12/2022	9	8
BAD	1	5/10/2022	10	10
BAD	2	5/10/2022	9	8
BAD	3	5/10/2022	10	9
BAD	4	5/12/2022	9	8
BAD	5	5/12/2022	10	10
BAD	6	5/12/2022	10	9
EL	1	5/10/2022	9	8
EL	2	5/10/2022	8	8
EL	3	5/10/2022	10	10
EL	4	5/12/2022	10	10
EL	5	5/12/2022	10	7
EL	6	5/12/2022	10	8
PBS	1	5/10/2022	10	9
PBS	2	5/10/2022	10	8
PBS	3	5/10/2022	10	10
PBS	4	5/12/2022	10	9
PBS	5	5/12/2022	10	9
PBS	6	5/12/2022	10	9
