Geneid	Length	22784	23406	H13	H14	22783	23386	23404	H11	H12	22785
Hol_evm.model.scaffold00001.1	323	15	37	62	72	3	0	33	40	64	10
Hol_evm.model.scaffold00001.2	513	0	0	0	0	0	0	0	2	0	0
Hol_evm.model.scaffold00001.3	591	0	0	0	0	0	0	0	0	0	0
Hol_evm.model.scaffold00001.4	555	0	0	0	0	0	0	0	0	0	0
Hol_evm.model.scaffold00005.1	315	0	0	0	0	0	0	0	0	0	0
Hol_evm.model.scaffold00005.2	159	169	72	119	222	85	457	175	252	33	401
Hol_evm.model.scaffold00007.1	207	1	1	0	0	1	0	1	3	3	7
Hol_evm.model.scaffold00011.1	1098	2	2	2	6	30	0	14	44	32	2
Hol_evm.model.scaffold00014.1	813	1	1	2	8	6	0	0	11	8	2
Hol_evm.model.scaffold00017.1	765	0	2	0	2	3	0	1	0	4	0
Hol_evm.model.scaffold00018.1	219	2	2	0	1	1	0	0	7	3	6
Hol_evm.model.scaffold00018.2	219	3	6	0	0	1	0	1	4	0	62
Hol_evm.model.scaffold00018.3	240	0	3	0	0	0	0	0	1	7	15
Hol_evm.model.scaffold00020.1	1563	3806	1997	1742	1068	259	0	153	18	4732	102
Hol_evm.model.scaffold00020.2	1125	1143	685	790	2025	345	29	616	1044	1415	2749
Hol_evm.model.scaffold00020.3	2983	1358	490	928	928	198	1	1198	842	1778	2477
Hol_evm.model.scaffold00023.1	2436	1823	352	4346	2465	229	40	1003	559	858	2324
Hol_evm.model.scaffold00023.2	216	162	23	227	85	5	0	61	2	7	163
Hol_evm.model.scaffold00027.1	2367	188	39	54	2	96	1	70	6	24	1795
Hol_evm.model.scaffold00028.1	736	76	9	5	0	4	0	39	8	6	189
Hol_evm.model.scaffold00029.1	750	3	1	0	4	0	0	2	6	4	2
Hol_evm.model.scaffold00033.1	278	5	4	0	1	2	0	1	0	0	6
Hol_evm.model.scaffold00034.1	2253	3	3	3	10	7	0	2	19	6	0
Hol_evm.model.scaffold00034.2	2046	283	221	216	79	87	0	362	6	8	1004
Hol_evm.model.scaffold00034.3	468	58	35	27	7	0	0	56	1	5	144
Hol_evm.model.scaffold00034.4	1314	1266	811	1475	1465	98	0	982	116	122	859
Hol_evm.model.scaffold00034.5	4188	177	52	2	9	75	0	440	623	444	41
Hol_evm.model.scaffold00034.6	339	3	1	2	2	1	0	0	8	13	1
Hol_evm.model.scaffold00034.7	5049	877	334	1100	792	278	0	430	1644	1526	1745
Hol_evm.model.scaffold00034.8	567	7	1	0	14	3	0	0	39	49	4
Hol_evm.model.scaffold00034.9	1167	480	249	454	1711	126	0	335	849	1248	972
Hol_evm.model.scaffold00034.10	1821	164	136	10	3	5	0	103	22	36	120
Hol_evm.model.scaffold00034.11	366	12	87	13	2	9	0	14	8	9	8
Hol_evm.model.scaffold00034.12	1218	2432	1079	2327	1574	144	1059	1638	646	1031	4549
Hol_evm.model.scaffold00034.13	2097	8016	3822	5497	4430	762	5581	7514	1335	7656	489
Hol_evm.model.scaffold00034.14	2070	49	398	461	573	95	0	438	205	277	54
Hol_evm.model.scaffold00034.15	2112	81	11	523	36	56	11	66	191	14	10
Hol_evm.model.scaffold00034.16	378	1	1	0	4	4	0	0	8	9	1
Hol_evm.model.scaffold00034.17	438	0	0	0	3	0	0	2	10	11	0
Hol_evm.model.scaffold00034.18	282	0	0	2	11	0	0	0	4	2	0
Hol_evm.model.scaffold00034.19	2154	629	177	316	27	325	0	659	60	72	249
Hol_evm.model.scaffold00034.20	615	1	0	0	0	2	0	0	2	2	6
Hol_evm.model.scaffold00034.21	318	3	0	0	0	1	0	0	9	0	0
Hol_evm.model.scaffold00034.22	399	1	1	4	3	2	0	2	2	8	1
Hol_evm.model.scaffold00034.23	1998	1	1	4	5	7	0	1	30	23	0
Hol_evm.model.scaffold00034.24	1557	8	12	7	21	8	0	2	35	101	7
Hol_evm.model.scaffold00034.25	369	4	5	0	2	10	1	2	2	0	3
Hol_evm.model.scaffold00034.26	1008	94	111	117	8	4	0	30	14	13	10
Hol_evm.model.scaffold00034.27	981	1282	422	1592	1020	145	0	558	68	216	960
Hol_evm.model.scaffold00034.28	1548	1165	405	1105	406	385	2	440	334	380	5307
Hol_evm.model.scaffold00034.29	3282	26	4	4	17	8	0	11	21	34	337
Hol_evm.model.scaffold00034.30	252	33	12	11	46	16	0	22	44	41	19
Hol_evm.model.scaffold00034.31	201	12	13	0	1	0	0	7	0	4	3
Hol_evm.model.scaffold00034.32	972	0	1	0	0	0	0	0	10	2	19
Hol_evm.model.scaffold00034.33	3003	5349	3407	6527	8039	2712	0	2138	2791	8088	619
Hol_evm.model.scaffold00034.34	2229	1482	156	1022	1948	205	0	503	108	263	836
Hol_evm.model.scaffold00034.35	2331	130	192	102	321	103	38	111	1480	275	68
Hol_evm.model.scaffold00034.36	510	1256	561	389	796	177	0	653	910	1208	690
Hol_evm.model.scaffold00034.37	3420	738	676	677	345	304	1	464	1600	242	3730
Hol_evm.model.scaffold00034.38	225	0	0	0	2	15	0	0	4	2	5
Hol_evm.model.scaffold00034.39	6897	1730	4120	3565	1958	2677	553	1783	1957	4116	592
Hol_evm.model.scaffold00034.40	1158	3569	3337	8190	2344	650	189	2454	1725	3101	2275
Hol_evm.model.scaffold00034.41	4455	55	180	220	15	132	1	116	180	112	1594
Hol_evm.model.scaffold00034.42	1302	544	96	58	436	252	0	264	189	321	958
Hol_evm.model.scaffold00034.43	1266	141	57	77	236	3	0	56	13	393	161
Hol_evm.model.scaffold00034.44	549	1900	868	1922	2082	606	1	1104	2269	2291	2925
Hol_evm.model.scaffold00034.45	3066	241	94	7	17	455	0	116	51	64	1139
Hol_evm.model.scaffold00034.46	537	1	1	0	1	1	0	0	8	8	1
Hol_evm.model.scaffold00034.47	264	1	1	0	0	0	0	0	2	3	0
Hol_evm.model.scaffold00034.48	276	5	0	0	0	1	0	5	2	5	2
Hol_evm.model.scaffold00034.49	3393	9	48	3	4	22	0	12	41	32	4
Hol_evm.model.scaffold00034.50	1146	554	199	365	508	54	6066	265	306	205	659
Hol_evm.model.scaffold00034.51	1647	190	113	104	301	4	0	58	201	4	1418
Hol_evm.model.scaffold00034.52	564	57	7	25	40	3	0	1	11	12	372
Hol_evm.model.scaffold00034.53	549	450	157	809	882	143	527	388	555	835	1167
Hol_evm.model.scaffold00036.1	267	13	1	0	2	2	0	0	8	23	3
Hol_evm.model.scaffold00036.2	213	5	0	0	0	1	0	11	2	0	1
Hol_evm.model.scaffold00037.1	666	1	1	0	4	10	0	2	5	11	36
Hol_evm.model.scaffold00038.1	1674	555	230	476	450	312	0	729	106	850	1126
Hol_evm.model.scaffold00041.1	514	2	26	1	8	48	0	13	11	2	4
Hol_evm.model.scaffold00042.1	486	97	136	223	263	73	0	178	47	253	123
Hol_evm.model.scaffold00042.2	315	3037	2675	4450	6188	2165	2255	3722	7029	7169	1020
Hol_evm.model.scaffold00042.3	318	825	507	684	1038	253	10	738	266	298	2343
Hol_evm.model.scaffold00042.4	1248	58	14	85	6	668	101	16	77	10	640
Hol_evm.model.scaffold00042.5	2814	507	97	626	858	68	0	252	87	865	1032
Hol_evm.model.scaffold00042.6	696	268	38	52	264	90	0	414	786	382	682
Hol_evm.model.scaffold00042.7	1863	934	189	800	1972	607	0	902	585	1302	2507
Hol_evm.model.scaffold00042.8	3402	16	10	6	52	28	0	6	138	178	18
