gene	chain	pred
evm.model.hic_scaffold_3_pilon.1226	32384	0.9445341229438782
evm.model.hic_scaffold_3_pilon.1226	35437	0.02992725558578968
evm.model.hic_scaffold_3_pilon.1226	33423	0.41728106141090393
evm.model.hic_scaffold_3_pilon.1226	18025	0.16537457704544067
evm.model.hic_scaffold_5_pilon.1332	13445	0.007175676058977842
evm.model.hic_scaffold_5_pilon.1332	9532	0.008457362651824951
evm.model.hic_scaffold_7_pilon.1291	29233	0.00385989504866302
evm.model.hic_scaffold_7_pilon.1291	28757	0.00385989504866302
evm.model.hic_scaffold_7_pilon.1291	35209	0.004552047699689865
evm.model.hic_scaffold_7_pilon.1291	12837	0.07692249864339828
evm.model.hic_scaffold_7_pilon.1291	31650	0.00385989504866302
evm.model.hic_scaffold_7_pilon.1291	15239	0.009840383194386959
evm.model.hic_scaffold_7_pilon.1291	16889	0.00385989504866302
evm.model.hic_scaffold_7_pilon.1291	18148	0.00385989504866302
evm.model.hic_scaffold_7_pilon.1291	25707	0.007600587792694569
evm.model.hic_scaffold_7_pilon.1291	35599	0.00385989504866302
evm.model.hic_scaffold_7_pilon.1291	15201	0.43782857060432434
evm.model.hic_scaffold_7_pilon.1291	18482	0.005832587368786335
evm.model.hic_scaffold_7_pilon.1291	31280	0.00385989504866302
evm.model.hic_scaffold_7_pilon.1291	26679	0.00385989504866302
evm.model.hic_scaffold_7_pilon.1291	20315	0.011142316274344921
evm.model.hic_scaffold_7_pilon.1291	27674	0.00385989504866302
evm.model.hic_scaffold_7_pilon.1291	20078	0.01060064323246479
evm.model.hic_scaffold_7_pilon.1291	22219	0.00385989504866302
evm.model.hic_scaffold_7_pilon.1291	14574	0.023019982501864433
evm.model.hic_scaffold_7_pilon.1291	17512	0.038516294211149216
evm.model.hic_scaffold_7_pilon.1291	27011	0.00385989504866302
evm.model.hic_scaffold_7_pilon.1291	11692	0.02081890031695366
evm.model.hic_scaffold_7_pilon.1291	15706	0.05600586161017418
evm.model.hic_scaffold_7_pilon.1291	13171	0.02081890031695366
evm.model.hic_scaffold_7_pilon.1291	29427	0.00385989504866302
evm.model.hic_scaffold_7_pilon.1291	22994	0.00385989504866302
evm.model.hic_scaffold_7_pilon.1291	15425	0.0372227318584919
evm.model.hic_scaffold_7_pilon.1291	26062	0.00385989504866302
evm.model.hic_scaffold_5_pilon.1504	133	0.2029137760400772
evm.model.hic_scaffold_5_pilon.182	10081	0.4095900058746338
evm.model.hic_scaffold_9_pilon.663	7944	0.09056966751813889
evm.model.hic_scaffold_6_pilon.244	22555	0.00791759230196476
evm.model.hic_scaffold_6_pilon.244	19735	0.01060064323246479
evm.model.hic_scaffold_9_pilon.411	1619	0.08392588794231415
evm.model.hic_scaffold_9_pilon.411	6124	0.03691134601831436
evm.model.hic_scaffold_9_pilon.411	32032	0.00385989504866302
evm.model.hic_scaffold_2_pilon.569	17371	0.005832587368786335
evm.model.hic_scaffold_13_pilon.18	90	0.9006596803665161
evm.model.hic_scaffold_8_pilon.592	34781	0.00385989504866302
evm.model.hic_scaffold_8_pilon.592	33095	0.00385989504866302
evm.model.hic_scaffold_8_pilon.592	29319	0.006621518172323704
evm.model.hic_scaffold_8_pilon.592	29903	0.005832587368786335
evm.model.hic_scaffold_8_pilon.592	32917	0.005832587368786335
evm.model.hic_scaffold_8_pilon.593	29319	0.007476018741726875
evm.model.hic_scaffold_8_pilon.593	29903	0.006621518172323704
evm.model.hic_scaffold_8_pilon.593	32917	0.007175676058977842
evm.model.hic_scaffold_8_pilon.411	15	0.1851925104856491
evm.model.hic_scaffold_8_pilon.411	2842	0.007175676058977842
evm.model.hic_scaffold_8_pilon.411	21620	0.00385989504866302
evm.model.hic_scaffold_8_pilon.411	14551	0.00385989504866302
evm.model.hic_scaffold_1_pilon.892	2189	0.8278564214706421
evm.model.hic_scaffold_1_pilon.893	2189	0.8278564214706421
evm.model.hic_scaffold_6_pilon.1095	13936	0.010305576026439667
evm.model.scaffold3036_size1356.1	25747	0.11706643551588058
evm.model.scaffold3036_size1356.1	35162	0.00385989504866302
evm.model.hic_scaffold_6_pilon.566	20181	0.007957348600029945
evm.model.hic_scaffold_6_pilon.566	16236	0.017236217856407166
evm.model.hic_scaffold_6_pilon.566	34734	0.008810875937342644
evm.model.hic_scaffold_6_pilon.566	33693	0.009447126649320126
evm.model.hic_scaffold_6_pilon.566	23869	0.008810875937342644
evm.model.hic_scaffold_6_pilon.566	13812	0.007957348600029945
evm.model.hic_scaffold_6_pilon.566	33383	0.010210080072283745
evm.model.hic_scaffold_6_pilon.566	16351	0.007957348600029945
evm.model.hic_scaffold_6_pilon.566	12912	0.008457362651824951
evm.model.hic_scaffold_6_pilon.566	32287	0.010177316144108772
evm.model.hic_scaffold_6_pilon.566	22217	0.008457362651824951
evm.model.hic_scaffold_4_pilon.588	1337	0.8278564214706421
evm.model.hic_scaffold_4_pilon.1193	1159	0.23308204114437103
evm.model.hic_scaffold_45_pilon.12	5533	0.030527545139193535
evm.model.hic_scaffold_45_pilon.12	19254	0.00791759230196476
evm.model.hic_scaffold_45_pilon.12	23599	0.014295963570475578
evm.model.hic_scaffold_45_pilon.12	20125	0.005832587368786335
evm.model.hic_scaffold_45_pilon.12	23586	0.014295963570475578
evm.model.hic_scaffold_45_pilon.12	10397	0.03306855261325836
evm.model.hic_scaffold_45_pilon.12	11002	0.12314621359109879
evm.model.hic_scaffold_45_pilon.12	7291	0.5903952121734619
evm.model.hic_scaffold_45_pilon.12	6592	0.36928147077560425
evm.model.hic_scaffold_45_pilon.12	21673	0.006876039318740368
evm.model.hic_scaffold_45_pilon.12	8253	0.0824548602104187
evm.model.hic_scaffold_45_pilon.14	6592	0.030527545139193535
evm.model.hic_scaffold_45_pilon.15	5533	0.36928147077560425
evm.model.hic_scaffold_45_pilon.15	5166	0.20915299654006958
evm.model.hic_scaffold_45_pilon.15	13200	0.18056915700435638
evm.model.hic_scaffold_45_pilon.15	26759	0.014295963570475578
evm.model.hic_scaffold_45_pilon.15	14488	0.007600587792694569
evm.model.hic_scaffold_45_pilon.15	6491	0.12357422709465027
evm.model.hic_scaffold_45_pilon.15	5626	0.36928147077560425
evm.model.hic_scaffold_45_pilon.15	6592	0.36928147077560425
evm.model.hic_scaffold_45_pilon.16	5533	0.36928147077560425
evm.model.hic_scaffold_45_pilon.16	24087	0.014295963570475578
evm.model.hic_scaffold_45_pilon.16	22631	0.00385989504866302
evm.model.hic_scaffold_45_pilon.16	5166	0.20915299654006958
evm.model.hic_scaffold_45_pilon.16	13200	0.023019982501864433
evm.model.hic_scaffold_45_pilon.16	14488	0.007600587792694569
evm.model.hic_scaffold_45_pilon.16	4318	0.0824548602104187
evm.model.hic_scaffold_45_pilon.16	23619	0.014295963570475578
evm.model.hic_scaffold_45_pilon.16	6491	0.12357422709465027
evm.model.hic_scaffold_45_pilon.16	5626	0.36928147077560425
evm.model.hic_scaffold_45_pilon.16	3671	0.02081890031695366
evm.model.hic_scaffold_2_pilon.169	31714	0.00385989504866302
evm.model.hic_scaffold_2_pilon.169	34560	0.00385989504866302
evm.model.hic_scaffold_2_pilon.169	19305	0.006750921253114939
evm.model.hic_scaffold_2_pilon.169	32274	0.006479518488049507
evm.model.hic_scaffold_2_pilon.169	12497	0.006750921253114939
evm.model.hic_scaffold_2_pilon.169	451	0.05820180103182793
evm.model.hic_scaffold_2_pilon.269	31813	0.7198514342308044
evm.model.hic_scaffold_2_pilon.269	13570	0.5010205507278442
evm.model.hic_scaffold_2_pilon.269	30055	0.7651262879371643
evm.model.hic_scaffold_13_pilon.101	47	0.812716543674469
