Dcor_gene_id	Dcor_v3_gene_id	Alus_gene_id	Liom_gene_id	Gene_group_dcor	Cell_type_dcor	Gene_group_alus	Cell_type_alus	Gene_group_liom	Cell_type_ltx	Orthogroup	GEP	Annotation
Dcor_evm.model.ctg18_len_2053367.267	Dcor_evm.model.hic_scaffold_7_pilon.1222	Alus_evm.model.scaffold16658.16	Liom_evm.model.scaffold59787.2	dmd	BQ	dmd	BQ	dmd	BQ	OG0000070	NA	Laccase-5
Dcor_evm.model.ctg18_len_2053367.267	Dcor_evm.model.hic_scaffold_7_pilon.1222	Alus_evm.model.scaffold16658.16	Liom_evm.model.scaffold15616.1	NA	NA	NA	NA	dmd	BQ	OG0000070	NA	Laccase-5
Dcor_evm.model.ctg28_len_882067.201	Dcor_evm.model.hic_scaffold_2_pilon.4	Alus_evm.model.scaffold01876.26	Liom_evm.model.scaffold28755.2	meos	BQ	meos	BQ	NA	NA	OG0000586	NA	"Ubiquinone biosynthesis O-methyltransferase, mitochondrial"
Dcor_evm.model.ctg11_len_5605186.169	Dcor_evm.model.hic_scaffold_6_pilon.1371	Alus_evm.model.scaffold18325.2	Liom_evm.model.scaffold31982.2	MFASN	S	NA	NA	NA	NA	OG0000065	GEP9	Fatty acid synthase
Dcor_evm.model.ctg11_len_5605186.169	Dcor_evm.model.hic_scaffold_6_pilon.1371	Alus_evm.model.scaffold18325.2	Liom_evm.model.scaffold36335.1	NA	NA	NA	NA	NA	NA	OG0000065	GEP9	Fatty acid synthase
Dcor_evm.model.ctg12_len_6330523.397	Dcor_evm.model.hic_scaffold_10_pilon.1414	Alus_evm.model.scaffold12252.6	Liom_evm.model.scaffold02320.1	BGLU	BQ	BGLU	BQ	BGLU	BQ	OG0000023	NA	Myrosinase 1
Dcor_evm.model.ctg12_len_6330523.397	Dcor_evm.model.hic_scaffold_10_pilon.1414	Alus_evm.model.scaffold12252.6	Liom_evm.model.scaffold37298.1	NA	NA	NA	NA	BGLU	BQ	OG0000023	NA	Myrosinase 1
Dcor_evm.model.ctg22_len_1181805.312	Dcor_evm.model.hic_scaffold_5_pilon.568	Alus_evm.model.scaffold10714.1	Liom_evm.model.scaffold26699.2	UGT	BQ	UGT	BQ	UGT	BQ	OG0000019	NA	UDP-glucuronosyltransferase 2B14
Dcor_evm.model.ctg6_len_5675906.369	Dcor_evm.model.hic_scaffold_3_pilon.1169	Alus_evm.model.scaffold04379.1	Liom_evm.model.scaffold07588.2	NA	BQ	NA	BQ	NA	NA	OG0005760	NA	ADP-ribosylation factor-binding protein GGA1
Dcor_evm.model.ctg28_len_882067.231	Dcor_evm.model.hic_scaffold_1_pilon.1147	Alus_evm.model.scaffold05683.8	Liom_evm.model.scaffold48969.1	NA	BQ	NA	BQ	NA	BQ	OG0004372	NA	"Alkaline phosphatase, tissue-nonspecific isozyme"
