"OG"	"group"	"Dcor_Gene"	"Liom_Gene"	"Liom_change"	"Liom_beta_D1"	"Liom_beta_d2"	"Liom_padj_D1vC"	"Liom_padj_D2vC"	"Annotation"	"Dcor_change"	"Dcor_beta_D1"	"Dcor_beta_d2"	"Dcor_padj_D1vC"	"Dcor_padj_D2vC"
"OG0000000"	1	"Dcor_evm.model.hic_scaffold_4_pilon.617"	"Liom_evm.model.scaffold25342.1"	"not_tested"	NA	NA	NA	NA	"PREDICTED: uncharacterized protein LOC105450600"	"not_tested"	NA	NA	NA	NA
"OG0000000"	2	"Dcor_evm.model.WTDall_ctg1050.3"	"Liom_evm.model.scaffold05321.1"	"not_tested"	NA	NA	NA	NA	"hypothetical protein"	"not_tested"	NA	NA	NA	NA
"OG0000000"	2	"Dcor_evm.model.WTDall_ctg1050.3"	"Liom_evm.model.scaffold20640.1"	"not_tested"	NA	NA	NA	NA	"hypothetical protein"	"not_tested"	NA	NA	NA	NA
"OG0000000"	2	"Dcor_evm.model.WTDall_ctg1050.3"	"Liom_evm.model.scaffold37979.1"	"not_tested"	NA	NA	NA	NA	"hypothetical protein"	"not_tested"	NA	NA	NA	NA
"OG0000000"	2	"Dcor_evm.model.WTDall_ctg1050.3"	"Liom_evm.model.scaffold12896.3"	"not_tested"	NA	NA	NA	NA	"hypothetical protein"	"not_tested"	NA	NA	NA	NA
"OG0000000"	3	"Dcor_evm.model.WTDall_ctg3567.1"	"Liom_evm.model.scaffold57867.3"	"not_tested"	NA	NA	NA	NA	"gag-pol polyprotein precursor, partial "	"not_tested"	NA	NA	NA	NA
"OG0000000"	4	"Dcor_evm.model.hic_scaffold_28_pilon.12"	"Liom_evm.model.scaffold00513.1"	"not_tested"	NA	NA	NA	NA	"PREDICTED: uncharacterized protein LOC108773960, partial"	"not_tested"	NA	NA	NA	NA
"OG0000000"	5	"Dcor_evm.model.hic_scaffold_10_pilon.561"	"Liom_evm.model.scaffold17033.2"	"not_tested"	NA	NA	NA	NA	"uncharacterized protein LOC112462240"	"not_tested"	NA	NA	NA	NA
"OG0000000"	5	"Dcor_evm.model.hic_scaffold_4_pilon.616"	"Liom_evm.model.scaffold17033.2"	"not_tested"	NA	NA	NA	NA	"uncharacterized protein LOC112462240"	"not_tested"	NA	NA	NA	NA
"OG0000000"	5	"Dcor_evm.model.hic_scaffold_28_pilon.15"	"Liom_evm.model.scaffold17033.2"	"not_tested"	NA	NA	NA	NA	"uncharacterized protein LOC112462240"	"not_tested"	NA	NA	NA	NA
