,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Protein_ID,Annotation,Dcor_Gene,padj
2493,2005.233355,9.791965099,0.648656556,15.09576218,1.73E-51,1.94E-47,Hol_evm.model.scaffold03400.3,NA,NA,1.94E-47
10013,6455.029169,10.47957424,0.702299616,14.92179975,2.38E-50,1.34E-46,Hol_evm.model.scaffold15924.2,Facilitated trehalose transporter Tret1,Dcor_evm.model.hic_scaffold_9_pilon.461,1.34E-46
2099,2888.332924,8.925847517,0.60896287,14.6574577,1.21E-48,4.53E-45,Hol_evm.model.scaffold02802.5,"Glucose dehydrogenase [FAD, quinone]",Dcor_evm.model.hic_scaffold_2_pilon.169,4.53E-45
9833,15609.57709,9.989960203,0.749695747,13.32535264,1.65E-40,4.64E-37,Hol_evm.model.scaffold15651.2,-,NA,4.64E-37
5658,31705.6081,9.701192227,0.741136458,13.08961679,3.78E-39,8.50E-36,Hol_evm.model.scaffold08166.9,Myrosinase 1,Dcor_evm.model.hic_scaffold_4_pilon.1096,8.50E-36
10379,1431.014305,11.32096522,0.882863422,12.82300857,1.22E-37,2.29E-34,Hol_evm.model.scaffold16763.2,NA,NA,2.29E-34
3842,1885.639429,9.898003254,0.829163598,11.93733453,7.56E-33,1.22E-29,Hol_evm.model.scaffold05211.4,"Glucose dehydrogenase [FAD, quinone]",Dcor_evm.model.hic_scaffold_2_pilon.169,1.22E-29
7029,1738.371775,9.325550313,0.809486956,11.52032191,1.04E-30,1.47E-27,Hol_evm.model.scaffold10595.4,Venom serine protease 34,Dcor_evm.model.hic_scaffold_9_pilon.1600,1.47E-27
10162,4178.135616,8.553274256,0.777940313,10.99476928,4.05E-28,5.07E-25,Hol_evm.model.scaffold16285.2,Facilitated trehalose transporter Tret1,Dcor_evm.model.hic_scaffold_9_pilon.900,5.07E-25
2299,2727.399664,10.60402696,1.022064645,10.37510397,3.22E-25,3.62E-22,Hol_evm.model.scaffold03113.2,PREDICTED: uncharacterized protein LOC103312982,Dcor_evm.model.hic_scaffold_7_pilon.1465,3.62E-22
5657,376.3796556,8.913235424,0.886701794,10.05212291,8.99E-24,9.20E-21,Hol_evm.model.scaffold08166.8,Myrosinase 1,Dcor_evm.model.hic_scaffold_5_pilon.1483,9.20E-21
6843,412.8817793,6.310711015,0.652759593,9.66774151,4.13E-22,3.88E-19,Hol_evm.model.scaffold10174.2,Myrosinase 1,Dcor_evm.model.hic_scaffold_10_pilon.1414,3.88E-19
2399,249.2717564,8.274234101,0.86019811,9.618986606,6.65E-22,5.76E-19,Hol_evm.model.scaffold03290.1,NA,NA,5.76E-19
4560,1816.13829,8.02087472,0.912581704,8.789212716,1.51E-18,1.21E-15,Hol_evm.model.scaffold06283.1,NA,NA,1.21E-15
11432,275.2094075,7.379542159,0.844315013,8.740271166,2.33E-18,1.75E-15,Hol_evm.model.scaffold18922.7,Facilitated trehalose transporter Tret1,Dcor_evm.model.hic_scaffold_9_pilon.461,1.75E-15
8013,1088.445269,5.644537847,0.64745892,8.717986077,2.83E-18,1.99E-15,Hol_evm.model.scaffold12126.1,Sodium/potassium/calcium exchanger 4,Dcor_evm.model.hic_scaffold_7_pilon.241,1.99E-15
10014,2894.990373,5.450791194,0.670510834,8.129311147,4.32E-16,2.86E-13,Hol_evm.model.scaffold15924.3,Facilitated trehalose transporter Tret1,Dcor_evm.model.hic_scaffold_9_pilon.461,2.86E-13
666,984.7596266,7.932985929,0.987377433,8.034400693,9.40E-16,5.88E-13,Hol_evm.model.scaffold00890.15,PREDICTED: uncharacterized protein LOC103312982,Dcor_evm.model.hic_scaffold_7_pilon.1465,5.88E-13
7953,15855.10899,7.177670119,0.894283648,8.026167237,1.01E-15,5.96E-13,Hol_evm.model.scaffold12014.2,Nose resistant to fluoxetine protein 6,Dcor_evm.model.hic_scaffold_3_pilon.187,5.96E-13
7595,130.41157,9.077295755,1.170604879,7.754363509,8.88E-15,5.00E-12,Hol_evm.model.scaffold11541.3,NA,NA,5.00E-12
4740,404.5156224,7.720507493,1.00046339,7.716931543,1.19E-14,6.39E-12,Hol_evm.model.scaffold06599.5,PREDICTED: uncharacterized protein LOC108564278,Dcor_evm.model.hic_scaffold_7_pilon.1358,6.39E-12
7561,258.0040895,7.782313726,1.028031629,7.570111177,3.73E-14,1.91E-11,Hol_evm.model.scaffold11486.1,NA,NA,1.91E-11
5680,786.7393647,5.91495349,0.805228172,7.345686223,2.05E-13,1.00E-10,Hol_evm.model.scaffold08213.2,CA14,NA,1.00E-10
2265,858.1816857,4.038733896,0.551534512,7.322721986,2.43E-13,1.14E-10,Hol_evm.model.scaffold03040.5,Farnesol dehydrogenase,Dcor_evm.model.hic_scaffold_2_pilon.400,1.14E-10
4862,205.6409053,7.425266027,1.027103143,7.229328503,4.85E-13,2.19E-10,Hol_evm.model.scaffold06791.2,SCD,NA,2.19E-10
4088,101.3585099,6.437691445,0.901995195,7.137168224,9.53E-13,4.13E-10,Hol_evm.model.scaffold05556.7,Acyl-CoA desaturase,Dcor_evm.model.hic_scaffold_10_pilon.896,4.13E-10
9229,2723.042989,4.452263091,0.6417757,6.937413007,3.99E-12,1.67E-09,Hol_evm.model.scaffold14580.8,Protein takeout,Dcor_evm.model.hic_scaffold_15_pilon.96,1.67E-09
4739,192.48932,8.458073665,1.221847217,6.922366029,4.44E-12,1.79E-09,Hol_evm.model.scaffold06599.4,NA,NA,1.79E-09
2495,363.2368577,6.683776981,0.968064474,6.904268423,5.05E-12,1.96E-09,Hol_evm.model.scaffold03400.5,NA,NA,1.96E-09
7464,846.8846916,3.60574608,0.535316267,6.735730444,1.63E-11,6.12E-09,Hol_evm.model.scaffold11350.4,-,NA,6.12E-09
322,475.6432343,4.737723731,0.705083718,6.719377585,1.83E-11,6.63E-09,Hol_evm.model.scaffold00346.2,ABTB2,NA,6.63E-09
1933,164.2284656,6.361753783,0.9534107,6.672626794,2.51E-11,8.76E-09,Hol_evm.model.scaffold02614.1,Otoferlin,Dcor_evm.model.hic_scaffold_16_pilon.178,8.76E-09
10436,64.61345786,6.107051618,0.91568247,6.669398854,2.57E-11,8.76E-09,Hol_evm.model.scaffold16913.9,NA,NA,8.76E-09
2986,2607.125775,4.045454522,0.622305577,6.500752477,7.99E-11,2.65E-08,Hol_evm.model.scaffold04031.4,LCT,NA,2.65E-08
4087,235.9695941,5.480724834,0.847107846,6.469925714,9.81E-11,3.07E-08,Hol_evm.model.scaffold05556.6,Peroxidase,Dcor_evm.model.hic_scaffold_10_pilon.822,3.07E-08
10451,407.3257605,5.805429284,0.897115487,6.471217328,9.72E-11,3.07E-08,Hol_evm.model.scaffold16936.4,Trypsin-7,Dcor_evm.model.hic_scaffold_10_pilon.747,3.07E-08
8409,135.4577984,6.413233216,0.997906811,6.426685481,1.30E-10,3.97E-08,Hol_evm.model.scaffold12751.5,NA,NA,3.97E-08
9307,201.291025,4.752988625,0.745997058,6.37132355,1.87E-10,5.55E-08,Hol_evm.model.scaffold14723.2,NA,NA,5.55E-08
7793,2816.229357,5.11044637,0.802631749,6.367112158,1.93E-10,5.56E-08,Hol_evm.model.scaffold11715.27,Group 3 secretory phospholipase A2,Dcor_evm.model.hic_scaffold_1_pilon.1040,5.56E-08
1425,1351.744786,3.476466595,0.547844173,6.345721588,2.21E-10,6.17E-08,Hol_evm.model.scaffold01802.6,-,NA,6.17E-08
7465,10636.17154,3.236948071,0.510277512,6.34350524,2.25E-10,6.17E-08,Hol_evm.model.scaffold11350.5,Glutaredoxin-C4,Dcor_evm.model.hic_scaffold_1_pilon.776,6.17E-08
