gene	chain	pred
evm.model.hic_scaffold_7_pilon.1312	4514	0.006750921253114939
evm.model.hic_scaffold_7_pilon.1312	20919	0.008038965053856373
evm.model.hic_scaffold_7_pilon.1312	7705	0.007175676058977842
evm.model.hic_scaffold_7_pilon.1312	9021	0.007957348600029945
evm.model.hic_scaffold_3_pilon.267	22996	0.00385989504866302
evm.model.hic_scaffold_3_pilon.267	11264	0.007175676058977842
evm.model.hic_scaffold_3_pilon.267	5001	0.5903952121734619
evm.model.hic_scaffold_3_pilon.200	3641	0.010217519477009773
evm.model.hic_scaffold_7_pilon.441	1460	0.04923936352133751
evm.model.hic_scaffold_7_pilon.441	1080	0.007637816946953535
evm.model.hic_scaffold_1_pilon.1132	15495	0.05600586161017418
evm.model.hic_scaffold_1_pilon.1132	17555	0.030527545139193535
evm.model.hic_scaffold_1_pilon.1132	16136	0.03740480914711952
evm.model.hic_scaffold_1_pilon.1132	35622	0.03740480914711952
evm.model.hic_scaffold_1_pilon.1132	25318	0.8883039951324463
evm.model.hic_scaffold_1_pilon.1132	14293	0.07527266442775726
evm.model.hic_scaffold_1_pilon.1132	21195	0.01680798828601837
evm.model.hic_scaffold_1_pilon.1132	10441	0.1973944902420044
evm.model.hic_scaffold_1_pilon.1132	20005	0.07921244204044342
evm.model.hic_scaffold_1_pilon.1132	32178	0.004552047699689865
evm.model.hic_scaffold_1_pilon.1132	10174	0.007957348600029945
evm.model.hic_scaffold_1_pilon.1132	21658	0.1604413539171219
evm.model.hic_scaffold_1_pilon.1132	29230	0.05008462071418762
evm.model.hic_scaffold_1_pilon.1132	18007	0.4632594585418701
evm.model.hic_scaffold_1_pilon.1132	15544	0.41027361154556274
evm.model.hic_scaffold_1_pilon.1133	15495	0.038516294211149216
evm.model.hic_scaffold_1_pilon.1133	17555	0.030527545139193535
evm.model.hic_scaffold_1_pilon.1133	35173	0.00385989504866302
evm.model.hic_scaffold_1_pilon.1133	31288	0.00385989504866302
evm.model.hic_scaffold_1_pilon.1133	16136	0.014860974624752998
evm.model.hic_scaffold_1_pilon.1133	11106	0.03534784913063049
evm.model.hic_scaffold_1_pilon.1133	35622	0.014860974624752998
evm.model.hic_scaffold_1_pilon.1133	32418	0.009760422632098198
evm.model.hic_scaffold_1_pilon.1133	25318	0.7651262879371643
evm.model.hic_scaffold_1_pilon.1133	33894	0.05600586161017418
evm.model.hic_scaffold_1_pilon.1133	14293	0.038516294211149216
evm.model.hic_scaffold_1_pilon.1133	28678	0.038516294211149216
evm.model.hic_scaffold_1_pilon.1133	21195	0.05729467049241066
evm.model.hic_scaffold_1_pilon.1133	20387	0.03534784913063049
evm.model.hic_scaffold_1_pilon.1133	10441	0.05600586161017418
evm.model.hic_scaffold_1_pilon.1133	16338	0.010310426354408264
evm.model.hic_scaffold_1_pilon.1133	16383	0.010998586192727089
evm.model.hic_scaffold_1_pilon.1133	20005	0.03371972590684891
evm.model.hic_scaffold_1_pilon.1133	22057	0.023019982501864433
evm.model.hic_scaffold_1_pilon.1133	10174	0.007957348600029945
evm.model.hic_scaffold_1_pilon.1133	21658	0.05600586161017418
evm.model.hic_scaffold_1_pilon.1133	22409	0.031146232038736343
evm.model.hic_scaffold_1_pilon.1133	15401	0.007600587792694569
evm.model.hic_scaffold_1_pilon.1133	18007	0.4632594585418701
evm.model.hic_scaffold_1_pilon.1133	15544	0.4632594585418701
evm.model.hic_scaffold_3_pilon.1131	8963	0.008810875937342644
evm.model.hic_scaffold_9_pilon.155	5893	0.03691134601831436
