Orthogroup	Dalotia_update.aa	Liometoxenus.aa
OG0000000	Dcor_evm.model.hic_scaffold_4_pilon.617	Liom_evm.model.scaffold25342.1
OG0000000	Dcor_evm.model.WTDall_ctg1050.3	Liom_evm.model.scaffold05321.1, Liom_evm.model.scaffold20640.1, Liom_evm.model.scaffold37979.1, Liom_evm.model.scaffold12896.3
OG0000000	Dcor_evm.model.WTDall_ctg3567.1	Liom_evm.model.scaffold57867.3
OG0000000	Dcor_evm.model.hic_scaffold_28_pilon.12	Liom_evm.model.scaffold00513.1
OG0000000	Dcor_evm.model.hic_scaffold_10_pilon.561, Dcor_evm.model.hic_scaffold_4_pilon.616, Dcor_evm.model.hic_scaffold_28_pilon.15, Dcor_evm.model.hic_scaffold_1_pilon.1104, Dcor_evm.model.hic_scaffold_1_pilon.1103	Liom_evm.model.scaffold17033.2, Liom_evm.model.scaffold31929.2, Liom_evm.model.scaffold17033.3, Liom_evm.model.scaffold31137.2, Liom_evm.model.scaffold14190.2, Liom_evm.model.scaffold17033.1, Liom_evm.model.scaffold38083.1, Liom_evm.model.scaffold32312.1, Liom_evm.model.scaffold18788.1
OG0000000	Dcor_evm.model.hic_scaffold_46_pilon.14	Liom_evm.model.scaffold20223.4, Liom_evm.model.scaffold22661.1
OG0000001	Dcor_evm.model.hic_scaffold_30_pilon.15	Liom_evm.model.scaffold57836.1
OG0000001	Dcor_evm.model.hic_scaffold_7_pilon.822	Liom_evm.model.scaffold07040.4
OG0000001	Dcor_evm.model.hic_scaffold_23_pilon.11, Dcor_evm.model.hic_scaffold_51_pilon.10	Liom_evm.model.scaffold02304.2
OG0000001	Dcor_evm.model.hic_scaffold_1_pilon.1094, Dcor_evm.model.hic_scaffold_8_pilon.450	Liom_evm.model.scaffold02989.1, Liom_evm.model.scaffold07490.4, Liom_evm.model.scaffold37464.1
OG0000001	Dcor_evm.model.hic_scaffold_30_pilon.16	Liom_evm.model.scaffold39236.1, Liom_evm.model.scaffold51990.1, Liom_evm.model.scaffold22570.3
OG0000001	Dcor_evm.model.hic_scaffold_7_pilon.812	Liom_evm.model.scaffold07527.1, Liom_evm.model.scaffold35869.1
OG0000001	Dcor_evm.model.hic_scaffold_10_pilon.1166, Dcor_evm.model.hic_scaffold_21_pilon.41, Dcor_evm.model.hic_scaffold_6_pilon.1177, Dcor_evm.model.hic_scaffold_6_pilon.1320	Liom_evm.model.scaffold20738.2, Liom_evm.model.scaffold32201.1
OG0000001	Dcor_evm.model.hic_scaffold_8_pilon.920, Dcor_evm.model.hic_scaffold_10_pilon.678, Dcor_evm.model.hic_scaffold_9_pilon.1899	Liom_evm.model.scaffold36118.1
OG0000001	Dcor_evm.model.hic_scaffold_23_pilon.6	Liom_evm.model.scaffold41139.1
OG0000001	Dcor_evm.model.hic_scaffold_10_pilon.528, Dcor_evm.model.hic_scaffold_23_pilon.7, Dcor_evm.model.hic_scaffold_3_pilon.1476	Liom_evm.model.scaffold59634.1, Liom_evm.model.scaffold20179.1, Liom_evm.model.scaffold18844.2, Liom_evm.model.scaffold20421.2, Liom_evm.model.scaffold37758.1, Liom_evm.model.scaffold07196.1, Liom_evm.model.scaffold33985.1, Liom_evm.model.scaffold31304.1, Liom_evm.model.scaffold30523.1, Liom_evm.model.scaffold19639.1
OG0000001	Dcor_evm.model.scaffold6119_size1069.1	Liom_evm.model.scaffold35625.1
OG0000001	Dcor_evm.model.hic_scaffold_5_pilon.358, Dcor_evm.model.hic_scaffold_6_pilon.270	Liom_evm.model.scaffold49450.1
OG0000001	Dcor_evm.model.hic_scaffold_1_pilon.596	Liom_evm.model.scaffold18984.1
OG0000002	Dcor_evm.model.hic_scaffold_7_pilon.1576	Liom_evm.model.scaffold05505.1
