"OG"	"group"	"Dcor_Gene"	"Liom_Gene"	"Liom_change"	"Liom_beta_D1"	"Liom_beta_d2"	"Liom_padj_D1vC"	"Liom_padj_D2vC"	"Annotation"	"Dcor_change"	"Dcor_beta_D1"	"Dcor_beta_d2"	"Dcor_padj_D1vC"	"Dcor_padj_D2vC"
"OG0000010"	100	"Dcor_evm.model.hic_scaffold_10_pilon.570"	"Liom_evm.model.scaffold06526.2"	"D1-enriched"	2.37855338430173	-5.28733637971797	0.00796636156237631	1.96055653663085e-10	"Trypsin-2"	"D1-enriched"	6.31084096476489	-4.13161077815641	2.27517038774748e-07	4.94302806164514e-09
"OG0000010"	100	"Dcor_evm.model.hic_scaffold_10_pilon.570"	"Liom_evm.model.scaffold42490.1"	"D1-enriched"	2.27712414570965	0.0350356907812434	0.0153720120318599	0.990026131857258	"Trypsin-2"	"D1-enriched"	6.31084096476489	-4.13161077815641	2.27517038774748e-07	4.94302806164514e-09
"OG0000015"	114	"Dcor_evm.model.hic_scaffold_7_pilon.498"	"Liom_evm.model.scaffold34103.1"	"D1-enriched"	5.40642736775799	0.954078207807873	1.13295090795046e-13	0.40904254688133	"Probable multidrug resistance-associated protein lethal(2)03659"	"D1-enriched"	3.9515100895889	-0.45495038879797	1.72865204856113e-05	0.455815424782486
"OG0000015"	114	"Dcor_evm.model.hic_scaffold_7_pilon.498"	"Liom_evm.model.scaffold06749.1"	"D1-enriched"	5.95881511428419	1.86949750296845	2.94856633739244e-11	0.101596096628959	"Probable multidrug resistance-associated protein lethal(2)03659"	"D1-enriched"	3.9515100895889	-0.45495038879797	1.72865204856113e-05	0.455815424782486
"OG0000015"	120	"Dcor_evm.model.hic_scaffold_7_pilon.25"	"Liom_evm.model.scaffold56962.1"	"D1-enriched"	6.31684347046697	-0.516545454553455	5.21291095895643e-18	0.738479398283406	"Multidrug resistance-associated protein 4"	"D1-enriched"	8.49412493275968	-1.64929229872796	7.51418770837775e-08	0.0884852993171689
"OG0000015"	120	"Dcor_evm.model.hic_scaffold_7_pilon.25"	"Liom_evm.model.scaffold30043.1"	"D1-enriched"	6.21992007658164	0.395478407583254	3.00045941016993e-17	0.816768144590429	"Multidrug resistance-associated protein 4"	"D1-enriched"	8.49412493275968	-1.64929229872796	7.51418770837775e-08	0.0884852993171689
"OG0000019"	136	"Dcor_evm.model.hic_scaffold_5_pilon.568"	"Liom_evm.model.scaffold26699.2"	"D1-enriched"	2.92338965571789	-0.542885697486186	3.42382624389038e-14	0.354030229724713	"UDP-glucuronosyltransferase 2B14"	"D1-enriched"	2.64417528292052	-1.86998697367611	2.09417516760299e-07	9.92389940575582e-12
"OG0000023"	153	"Dcor_evm.model.hic_scaffold_10_pilon.1414"	"Liom_evm.model.scaffold02320.1"	"D1-enriched"	8.80037131339801	1.95926054483502	2.50372972853454e-22	0.0915776158055844	"Myrosinase 1"	"D1-enriched"	7.78965795696564	-1.55349838880433	0.000705076413451953	0.271424000881848
"OG0000023"	153	"Dcor_evm.model.hic_scaffold_10_pilon.1414"	"Liom_evm.model.scaffold37298.1"	"D1-enriched"	8.93696058795886	1.95376971547039	1.80703856923614e-21	0.109411584639036	"Myrosinase 1"	"D1-enriched"	7.78965795696564	-1.55349838880433	0.000705076413451953	0.271424000881848
"OG0000070"	319	"Dcor_evm.model.hic_scaffold_7_pilon.1222"	"Liom_evm.model.scaffold59787.2"	"D1-enriched"	8.85453995686071	1.15524862354485	1.95923206063657e-23	0.415653349591549	"Laccase-5"	"D1-enriched"	7.33609346998493	-2.84328606685728	5.20636726210971e-08	0.000191480067366237
"OG0000103"	420	"Dcor_evm.model.hic_scaffold_7_pilon.1510"	"Liom_evm.model.scaffold55235.2"	"D1-enriched"	8.58531379695614	0.975727702807711	1.80805357380658e-22	0.519450435961415	"Glutathione S-transferase D7"	"D1-enriched"	8.31489330732999	-1.93068678754565	3.07857069456506e-07	0.0474207050460246
"OG0000112"	446	"Dcor_evm.model.hic_scaffold_9_pilon.461"	"Liom_evm.model.scaffold06557.1"	"D1-enriched"	8.67158962124632	1.29338894773739	1.33147673754457e-16	0.447510689007413	"Facilitated trehalose transporter Tret1"	"D1-enriched"	7.94316669158193	-2.13955005098518	0.000714378068256402	0.122988548000658
"OG0000112"	446	"Dcor_evm.model.hic_scaffold_9_pilon.461"	"Liom_evm.model.scaffold40334.1"	"D1-enriched"	5.65156217034424	0.710516510199617	2.26162582380368e-11	0.776158975661262	"Facilitated trehalose transporter Tret1"	"D1-enriched"	7.94316669158193	-2.13955005098518	0.000714378068256402	0.122988548000658
"OG0000112"	446	"Dcor_evm.model.hic_scaffold_9_pilon.461"	"Liom_evm.model.scaffold48248.1"	"D1-enriched"	8.81420784199835	1.44035008367307	1.57072641003223e-18	0.345235684595575	"Facilitated trehalose transporter Tret1"	"D1-enriched"	7.94316669158193	-2.13955005098518	0.000714378068256402	0.122988548000658
"OG0000112"	446	"Dcor_evm.model.hic_scaffold_9_pilon.461"	"Liom_evm.model.scaffold12576.1"	"D1-enriched"	8.75692990459702	1.82447522398263	3.43278331535322e-20	0.146037994405581	"Facilitated trehalose transporter Tret1"	"D1-enriched"	7.94316669158193	-2.13955005098518	0.000714378068256402	0.122988548000658
"OG0000112"	446	"Dcor_evm.model.hic_scaffold_9_pilon.461"	"Liom_evm.model.scaffold36854.1"	"D1-enriched"	7.56609025020092	-0.50576784458763	3.00601339690103e-06	0.890879057171547	"Facilitated trehalose transporter Tret1"	"D1-enriched"	7.94316669158193	-2.13955005098518	0.000714378068256402	0.122988548000658
"OG0000112"	446	"Dcor_evm.model.hic_scaffold_9_pilon.461"	"Liom_evm.model.scaffold40314.7"	"D1-enriched"	8.34729535584066	0.750562064762308	2.21929067143691e-16	0.71514431861793	"Facilitated trehalose transporter Tret1"	"D1-enriched"	7.94316669158193	-2.13955005098518	0.000714378068256402	0.122988548000658
"OG0000112"	446	"Dcor_evm.model.hic_scaffold_9_pilon.461"	"Liom_evm.model.scaffold13817.1"	"D1-enriched"	2.5728832521125	-3.24918170203718	0.00014822240121669	1.12072125169754e-06	"Facilitated trehalose transporter Tret1"	"D1-enriched"	7.94316669158193	-2.13955005098518	0.000714378068256402	0.122988548000658
"OG0000112"	447	"Dcor_evm.model.hic_scaffold_9_pilon.460"	"Liom_evm.model.scaffold48248.2"	"D1-enriched"	4.5084042283064	-0.501930332526535	0.000594775045333452	0.86793076358469	"Facilitated trehalose transporter Tret1"	"D1-enriched"	6.98741426051012	-3.58548626361869	8.24608276808615e-06	2.54307869400105e-05
