Orthogroup	Dalotia_update.aa	Alustrica.aa
OG0000000	Dcor_evm.model.hic_scaffold_28_pilon.14	Alus_evm.model.scaffold15913.1
OG0000000	Dcor_evm.model.hic_scaffold_62_pilon.13	Alus_evm.model.scaffold10165.3
OG0000000	Dcor_evm.model.hic_scaffold_28_pilon.13	Alus_evm.model.scaffold06219.2
OG0000000	Dcor_evm.model.WTDall_ctg572.3	Alus_evm.model.scaffold14032.3
OG0000000	Dcor_evm.model.WTDall_ctg1050.3	Alus_evm.model.scaffold14817.1, Alus_evm.model.scaffold02258.1, Alus_evm.model.scaffold13323.3, Alus_evm.model.scaffold11030.2
OG0000000	Dcor_evm.model.WTDall_ctg3567.1	Alus_evm.model.scaffold00611.1
OG0000000	Dcor_evm.model.hic_scaffold_28_pilon.12	Alus_evm.model.scaffold14032.4
OG0000000	Dcor_evm.model.WTDall_ctg9512.2	Alus_evm.model.scaffold08129.2
OG0000000	Dcor_evm.model.hic_scaffold_10_pilon.561, Dcor_evm.model.hic_scaffold_4_pilon.616, Dcor_evm.model.hic_scaffold_28_pilon.15, Dcor_evm.model.hic_scaffold_1_pilon.1104, Dcor_evm.model.hic_scaffold_1_pilon.1103	Alus_evm.model.scaffold09578.1
OG0000001	Dcor_evm.model.hic_scaffold_30_pilon.15	Alus_evm.model.scaffold14862.1, Alus_evm.model.scaffold04033.8
OG0000001	Dcor_evm.model.hic_scaffold_5_pilon.576, Dcor_evm.model.hic_scaffold_10_pilon.10, Dcor_evm.model.hic_scaffold_1_pilon.599	Alus_evm.model.scaffold07599.2, Alus_evm.model.scaffold01712.1
OG0000001	Dcor_evm.model.hic_scaffold_1_pilon.1094, Dcor_evm.model.hic_scaffold_8_pilon.450	Alus_evm.model.scaffold05360.3
OG0000001	Dcor_evm.model.hic_scaffold_23_pilon.6	Alus_evm.model.scaffold07896.1
OG0000001	Dcor_evm.model.hic_scaffold_10_pilon.528, Dcor_evm.model.hic_scaffold_23_pilon.7, Dcor_evm.model.hic_scaffold_3_pilon.1476	Alus_evm.model.scaffold01321.2, Alus_evm.model.scaffold07107.2
OG0000001	Dcor_evm.model.scaffold6119_size1069.1	Alus_evm.model.scaffold09138.1
OG0000001	Dcor_evm.model.hic_scaffold_1_pilon.596	Alus_evm.model.scaffold06938.4
OG0000002	Dcor_evm.model.hic_scaffold_7_pilon.1576	Alus_evm.model.scaffold06394.1, Alus_evm.model.scaffold06394.2
OG0000002	Dcor_evm.model.hic_scaffold_7_pilon.1273	Alus_evm.model.scaffold13182.5
OG0000002	Dcor_evm.model.hic_scaffold_7_pilon.1284	Alus_evm.model.scaffold09037.3
OG0000002	Dcor_evm.model.hic_scaffold_7_pilon.1283	Alus_evm.model.scaffold09037.2
OG0000002	Dcor_evm.model.hic_scaffold_7_pilon.1277	Alus_evm.model.scaffold12674.1
OG0000002	Dcor_evm.model.hic_scaffold_7_pilon.1282	Alus_evm.model.scaffold06731.2
OG0000002	Dcor_evm.model.hic_scaffold_7_pilon.1275	Alus_evm.model.scaffold12674.2
OG0000002	Dcor_evm.model.hic_scaffold_7_pilon.1280	Alus_evm.model.scaffold16563.1
OG0000002	Dcor_evm.model.hic_scaffold_7_pilon.1292	Alus_evm.model.scaffold13646.1
