Orthogroup	Dalotia_update.aa	Holobus.aa
OG0000000	Dcor_evm.model.hic_scaffold_4_pilon.617	Hol_evm.model.scaffold15922.3
OG0000000	Dcor_evm.model.hic_scaffold_53_pilon.7, Dcor_evm.model.hic_scaffold_1_pilon.1128, Dcor_evm.model.hic_scaffold_5_pilon.411, Dcor_evm.model.hic_scaffold_6_pilon.1067	Hol_evm.model.scaffold11951.3
OG0000000	Dcor_evm.model.hic_scaffold_28_pilon.13	Hol_evm.model.scaffold03588.1, Hol_evm.model.scaffold08244.2, Hol_evm.model.scaffold10843.1
OG0000000	Dcor_evm.model.hic_scaffold_62_pilon.11	Hol_evm.model.scaffold10225.3
OG0000000	Dcor_evm.model.WTDall_ctg1050.3	Hol_evm.model.scaffold00213.1
OG0000000	Dcor_evm.model.WTDall_ctg9512.2	Hol_evm.model.scaffold13911.1
OG0000000	Dcor_evm.model.hic_scaffold_46_pilon.14	Hol_evm.model.scaffold07838.2
OG0000000	Dcor_evm.model.WTDall_ctg5555.4	Hol_evm.model.scaffold04234.3
OG0000000	Dcor_evm.model.hic_scaffold_35_pilon.5	Hol_evm.model.scaffold18704.1
OG0000000	Dcor_evm.model.hic_scaffold_54_pilon.4	Hol_evm.model.scaffold09450.1, Hol_evm.model.scaffold08685.1
OG0000001	Dcor_evm.model.hic_scaffold_30_pilon.15	Hol_evm.model.scaffold16607.1, Hol_evm.model.scaffold12994.1
OG0000001	Dcor_evm.model.hic_scaffold_7_pilon.822, Dcor_evm.model.hic_scaffold_23_pilon.11, Dcor_evm.model.hic_scaffold_51_pilon.10	Hol_evm.model.scaffold05598.2
OG0000001	Dcor_evm.model.hic_scaffold_1_pilon.1094, Dcor_evm.model.hic_scaffold_8_pilon.450	Hol_evm.model.scaffold04241.1
OG0000001	Dcor_evm.model.hic_scaffold_30_pilon.16	Hol_evm.model.scaffold09539.1
OG0000001	Dcor_evm.model.hic_scaffold_10_pilon.1165	Hol_evm.model.scaffold11067.1
OG0000001	Dcor_evm.model.hic_scaffold_8_pilon.920, Dcor_evm.model.hic_scaffold_10_pilon.678, Dcor_evm.model.hic_scaffold_9_pilon.1899	Hol_evm.model.scaffold14067.1
OG0000001	Dcor_evm.model.hic_scaffold_1_pilon.596	Hol_evm.model.scaffold02644.1
OG0000002	Dcor_evm.model.hic_scaffold_7_pilon.1576	Hol_evm.model.scaffold05324.2
OG0000002	Dcor_evm.model.hic_scaffold_7_pilon.1273	Hol_evm.model.scaffold09304.14
OG0000002	Dcor_evm.model.hic_scaffold_7_pilon.1295	Hol_evm.model.scaffold09304.17
OG0000002	Dcor_evm.model.hic_scaffold_7_pilon.1283	Hol_evm.model.scaffold09304.18
OG0000002	Dcor_evm.model.hic_scaffold_7_pilon.1277	Hol_evm.model.scaffold09304.28
OG0000002	Dcor_evm.model.hic_scaffold_7_pilon.1282	Hol_evm.model.scaffold09304.20
OG0000002	Dcor_evm.model.hic_scaffold_7_pilon.1275	Hol_evm.model.scaffold09304.29
OG0000002	Dcor_evm.model.hic_scaffold_7_pilon.1280	Hol_evm.model.scaffold09304.23
OG0000002	Dcor_evm.model.hic_scaffold_6_pilon.90, Dcor_evm.model.hic_scaffold_7_pilon.688, Dcor_evm.model.hic_scaffold_7_pilon.687, Dcor_evm.model.hic_scaffold_15_pilon.67, Dcor_evm.model.hic_scaffold_7_pilon.685, Dcor_evm.model.hic_scaffold_15_pilon.70, Dcor_evm.model.hic_scaffold_7_pilon.682	Hol_evm.model.scaffold00890.3
OG0000002	Dcor_evm.model.hic_scaffold_5_pilon.111	Hol_evm.model.scaffold10018.2
OG0000002	Dcor_evm.model.hic_scaffold_7_pilon.1580	Hol_evm.model.scaffold11110.4, Hol_evm.model.scaffold11110.3
OG0000002	Dcor_evm.model.hic_scaffold_7_pilon.1578	Hol_evm.model.scaffold11110.2
OG0000004	Dcor_evm.model.hic_scaffold_6_pilon.1662, Dcor_evm.model.hic_scaffold_6_pilon.1664	Hol_evm.model.scaffold02237.2
OG0000004	Dcor_evm.model.hic_scaffold_7_pilon.1560	Hol_evm.model.scaffold08564.4, Hol_evm.model.scaffold03987.3
OG0000004	Dcor_evm.model.hic_scaffold_7_pilon.614, Dcor_evm.model.hic_scaffold_7_pilon.613, Dcor_evm.model.hic_scaffold_7_pilon.612	Hol_evm.model.scaffold11620.8
OG0000004	Dcor_evm.model.hic_scaffold_16_pilon.50, Dcor_evm.model.hic_scaffold_6_pilon.777, Dcor_evm.model.hic_scaffold_16_pilon.83, Dcor_evm.model.hic_scaffold_6_pilon.749, Dcor_evm.model.hic_scaffold_4_pilon.1134	Hol_evm.model.scaffold11620.5, Hol_evm.model.scaffold11620.6, Hol_evm.model.scaffold11620.7
OG0000004	Dcor_evm.model.hic_scaffold_7_pilon.617, Dcor_evm.model.hic_scaffold_7_pilon.619, Dcor_evm.model.hic_scaffold_7_pilon.618	Hol_evm.model.scaffold11620.4
OG0000004	Dcor_evm.model.hic_scaffold_8_pilon.765, Dcor_evm.model.hic_scaffold_8_pilon.764, Dcor_evm.model.hic_scaffold_8_pilon.761, Dcor_evm.model.hic_scaffold_8_pilon.763, Dcor_evm.model.hic_scaffold_5_pilon.488	Hol_evm.model.scaffold17378.1, Hol_evm.model.scaffold17731.16
OG0000005	Dcor_evm.model.hic_scaffold_63_pilon.5	Hol_evm.model.scaffold06468.1
OG0000005	Dcor_evm.model.WTDcor_ctg274.1	Hol_evm.model.scaffold17176.2
OG0000005	Dcor_evm.model.hic_scaffold_4_pilon.623, Dcor_evm.model.hic_scaffold_3_pilon.600, Dcor_evm.model.hic_scaffold_4_pilon.624	Hol_evm.model.scaffold17934.1
OG0000005	Dcor_evm.model.WTDall_ctg2217.3	Hol_evm.model.scaffold00336.1
OG0000006	Dcor_evm.model.hic_scaffold_1_pilon.924	Hol_evm.model.scaffold00405.1
OG0000006	Dcor_evm.model.hic_scaffold_4_pilon.706	Hol_evm.model.scaffold10568.4
OG0000006	Dcor_evm.model.hic_scaffold_1_pilon.13, Dcor_evm.model.hic_scaffold_1_pilon.11, Dcor_evm.model.hic_scaffold_8_pilon.910	Hol_evm.model.scaffold01056.2, Hol_evm.model.scaffold01056.1, Hol_evm.model.scaffold02932.1, Hol_evm.model.scaffold01056.4, Hol_evm.model.scaffold18118.1
OG0000006	Dcor_evm.model.hic_scaffold_9_pilon.824, Dcor_evm.model.hic_scaffold_9_pilon.823	Hol_evm.model.scaffold09857.14
OG0000007	Dcor_evm.model.hic_scaffold_1_pilon.1097, Dcor_evm.model.hic_scaffold_62_pilon.18, Dcor_evm.model.hic_scaffold_4_pilon.1285, Dcor_evm.model.hic_scaffold_67_pilon.12	Hol_evm.model.scaffold10031.1
OG0000007	Dcor_evm.model.hic_scaffold_64_pilon.23	Hol_evm.model.scaffold18749.1
OG0000007	Dcor_evm.model.WTDall_ctg631.2	Hol_evm.model.scaffold01732.1
OG0000008	Dcor_evm.model.hic_scaffold_10_pilon.768, Dcor_evm.model.hic_scaffold_1_pilon.659, Dcor_evm.model.hic_scaffold_3_pilon.380	Hol_evm.model.scaffold03214.1, Hol_evm.model.scaffold10984.1
OG0000008	Dcor_evm.model.hic_scaffold_3_pilon.774	Hol_evm.model.scaffold11991.3
OG0000008	Dcor_evm.model.hic_scaffold_3_pilon.395	Hol_evm.model.scaffold02275.3, Hol_evm.model.scaffold11294.1
OG0000008	Dcor_evm.model.hic_scaffold_4_pilon.949, Dcor_evm.model.hic_scaffold_4_pilon.946, Dcor_evm.model.hic_scaffold_4_pilon.951, Dcor_evm.model.hic_scaffold_4_pilon.947, Dcor_evm.model.hic_scaffold_4_pilon.943, Dcor_evm.model.hic_scaffold_4_pilon.945, Dcor_evm.model.hic_scaffold_4_pilon.944, Dcor_evm.model.hic_scaffold_4_pilon.942	Hol_evm.model.scaffold01355.6
OG0000008	Dcor_evm.model.hic_scaffold_10_pilon.290, Dcor_evm.model.hic_scaffold_10_pilon.289	Hol_evm.model.scaffold03493.1, Hol_evm.model.scaffold17945.18
OG0000008	Dcor_evm.model.hic_scaffold_10_pilon.292	Hol_evm.model.scaffold00973.1, Hol_evm.model.scaffold02177.8
OG0000008	Dcor_evm.model.hic_scaffold_10_pilon.302, Dcor_evm.model.hic_scaffold_10_pilon.303, Dcor_evm.model.hic_scaffold_10_pilon.304, Dcor_evm.model.hic_scaffold_10_pilon.305	Hol_evm.model.scaffold06216.2, Hol_evm.model.scaffold17673.3
OG0000009	Dcor_evm.model.hic_scaffold_5_pilon.33	Hol_evm.model.scaffold13275.2
OG0000009	Dcor_evm.model.hic_scaffold_1_pilon.861	Hol_evm.model.scaffold08104.1
OG0000009	Dcor_evm.model.hic_scaffold_1_pilon.860	Hol_evm.model.scaffold12734.1
OG0000009	Dcor_evm.model.hic_scaffold_1_pilon.862	Hol_evm.model.scaffold08931.1, Hol_evm.model.scaffold09502.1
OG0000009	Dcor_evm.model.scaffold1327_size1786.1	Hol_evm.model.scaffold08625.19
OG0000009	Dcor_evm.model.scaffold1853_size1519.2, Dcor_evm.model.scaffold907_size2212.1, Dcor_evm.model.scaffold907_size2212.2, Dcor_evm.model.scaffold2479_size1422.1	Hol_evm.model.scaffold11306.4
OG0000009	Dcor_evm.model.hic_scaffold_2_pilon.335	Hol_evm.model.scaffold15243.5
OG0000009	Dcor_evm.model.hic_scaffold_6_pilon.1418	Hol_evm.model.scaffold15213.6
OG0000009	Dcor_evm.model.hic_scaffold_10_pilon.238, Dcor_evm.model.hic_scaffold_9_pilon.142	Hol_evm.model.scaffold01244.4
OG0000010	Dcor_evm.model.hic_scaffold_10_pilon.72, Dcor_evm.model.hic_scaffold_10_pilon.655	Hol_evm.model.scaffold08144.11, Hol_evm.model.scaffold10906.1, Hol_evm.model.scaffold05499.1, Hol_evm.model.scaffold05785.1
OG0000010	Dcor_evm.model.hic_scaffold_10_pilon.76	Hol_evm.model.scaffold07352.1
OG0000010	Dcor_evm.model.hic_scaffold_10_pilon.747, Dcor_evm.model.hic_scaffold_7_pilon.1200, Dcor_evm.model.hic_scaffold_10_pilon.746, Dcor_evm.model.hic_scaffold_7_pilon.1199, Dcor_evm.model.hic_scaffold_13_pilon.44, Dcor_evm.model.hic_scaffold_9_pilon.620, Dcor_evm.model.hic_scaffold_14_pilon.61, Dcor_evm.model.hic_scaffold_9_pilon.431	Hol_evm.model.scaffold16936.4
OG0000010	Dcor_evm.model.hic_scaffold_10_pilon.569	Hol_evm.model.scaffold07268.2
OG0000010	Dcor_evm.model.hic_scaffold_5_pilon.701, Dcor_evm.model.hic_scaffold_10_pilon.571	Hol_evm.model.scaffold08144.7
OG0000010	Dcor_evm.model.hic_scaffold_10_pilon.570	Hol_evm.model.scaffold08144.8
OG0000011	Dcor_evm.model.hic_scaffold_30_pilon.18, Dcor_evm.model.hic_scaffold_33_pilon.16	Hol_evm.model.scaffold09687.1
OG0000011	Dcor_evm.model.hic_scaffold_30_pilon.19	Hol_evm.model.scaffold17229.1
OG0000011	Dcor_evm.model.contig_125_pilon.1	Hol_evm.model.scaffold03402.1
OG0000011	Dcor_evm.model.hic_scaffold_1_pilon.1135	Hol_evm.model.scaffold08771.9
OG0000011	Dcor_evm.model.hic_scaffold_23_pilon.1	Hol_evm.model.scaffold11172.1
OG0000013	Dcor_evm.model.hic_scaffold_4_pilon.329	Hol_evm.model.scaffold11951.1
OG0000013	Dcor_evm.model.hic_scaffold_38_pilon.2	Hol_evm.model.scaffold03937.1
OG0000013	Dcor_evm.model.hic_scaffold_62_pilon.16, Dcor_evm.model.contig_135_pilon.1	Hol_evm.model.scaffold14589.1, Hol_evm.model.scaffold03645.2, Hol_evm.model.scaffold07297.1, Hol_evm.model.scaffold08068.1, Hol_evm.model.scaffold11785.1
OG0000013	Dcor_evm.model.hic_scaffold_53_pilon.9	Hol_evm.model.scaffold03645.3
