Geneid	Length	MA	FA	brain	larvae	pupae	MW	FW	control_1_rep1	control_1_rep2	control_2_rep1	control_2_rep2	control_3_rep1	control_3_rep2	gland_1_rep1	gland_1_rep2	gland_2_rep1	gland_2_rep2	gland_3_rep1	gland_3_rep2
Dcor_evm.model.WTDall_ctg1000.1	267	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dcor_evm.model.WTDall_ctg1003.1	387	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dcor_evm.model.WTDall_ctg1008.1	174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dcor_evm.model.WTDall_ctg1026.2	285	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dcor_evm.model.WTDall_ctg1026.3	438	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dcor_evm.model.WTDall_ctg1026.4	702	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dcor_evm.model.WTDall_ctg1026.5	797	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
Dcor_evm.model.WTDall_ctg1026.1	1224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dcor_evm.model.WTDall_ctg103.1	300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dcor_evm.model.WTDall_ctg1050.1	543	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dcor_evm.model.WTDall_ctg1050.2	342	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dcor_evm.model.WTDall_ctg1050.3	297	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dcor_evm.model.WTDall_ctg1050.4	269	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dcor_evm.model.WTDall_ctg1052.1	260	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dcor_evm.model.WTDall_ctg1052.2	873	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dcor_evm.model.WTDall_ctg1052.3	1029	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dcor_evm.model.WTDall_ctg1052.4	882	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dcor_evm.model.WTDall_ctg1052.5	489	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
