Protein_ID	Annotation
Dcor_evm.model.contig_1_pilon.1	Craniofacial development protein 2
Dcor_evm.model.contig_1_pilon.2	hypothetical protein
Dcor_evm.model.contig_1_pilon.3	hypothetical protein
Dcor_evm.model.contig_1_pilon.4	Jerky protein homolog-like
Dcor_evm.model.contig_1_pilon.5	uncharacterized protein LOC105693654
Dcor_evm.model.contig_1_pilon.6	hypothetical protein
Dcor_evm.model.contig_10_pilon.1	FACT complex subunit spt16
Dcor_evm.model.contig_10_pilon.2	U6 snRNA-associated Sm-like protein LSm4
Dcor_evm.model.contig_10_pilon.3	Endophilin-B2
Dcor_evm.model.contig_102_pilon.1	hypothetical protein
Dcor_evm.model.contig_104_pilon.1	Lambda-crystallin homolog 
Dcor_evm.model.contig_106_pilon.1	hypothetical protein
Dcor_evm.model.contig_106_pilon.2	hypothetical protein
Dcor_evm.model.contig_106_pilon.3	hypothetical protein
Dcor_evm.model.contig_106_pilon.4	Meiosis regulator and mRNA stability factor 1
Dcor_evm.model.contig_116_pilon.1	hypothetical protein
Dcor_evm.model.contig_116_pilon.2	PREDICTED: mucin-5AC
Dcor_evm.model.contig_118_pilon.1	PREDICTED: Meckel syndrome type 1 protein-like
Dcor_evm.model.contig_119_pilon.1	uncharacterized protein LOC109862181
Dcor_evm.model.contig_119_pilon.2	hypothetical protein
Dcor_evm.model.contig_119_pilon.3	HEAT repeat-containing protein 5B, partial
Dcor_evm.model.contig_120_pilon.1	tRNA (adenine(58)-N(1))-methyltransferase non-catalytic subunit TRM6 
Dcor_evm.model.contig_123_pilon.1	tigger transposable element-derived protein 6
Dcor_evm.model.contig_124_pilon.1	Max-binding protein MNT
Dcor_evm.model.contig_125_pilon.1	uncharacterized protein LOC111421201
Dcor_evm.model.contig_127_pilon.1	PREDICTED: ATP-dependent DNA helicase PIF1-like
Dcor_evm.model.contig_127_pilon.2	uncharacterized protein LOC113229397
Dcor_evm.model.contig_127_pilon.3	PREDICTED: uncharacterized protein LOC105380875
Dcor_evm.model.contig_127_pilon.4	uncharacterized protein LOC113371381
Dcor_evm.model.contig_13_pilon.1	Retrovirus-related Pol polyprotein from transposon 17.6
Dcor_evm.model.contig_13_pilon.2	GATA zinc finger domain-containing protein 14-like
Dcor_evm.model.contig_13_pilon.3	hypothetical protein
Dcor_evm.model.contig_132_pilon.1	Sterile alpha motif domain-containing protein 5
Dcor_evm.model.contig_132_pilon.2	hypothetical protein
Dcor_evm.model.contig_133_pilon.1	hypothetical protein TSAR_005064
Dcor_evm.model.contig_135_pilon.1	hypothetical protein TcasGA2_TC010296
Dcor_evm.model.contig_135_pilon.2	Retrovirus-related Pol polyprotein from type-1 retrotransposable element R2 (Fragment)
Dcor_evm.model.contig_140_pilon.1	Nose resistant to fluoxetine protein 6
Dcor_evm.model.contig_140_pilon.2	PREDICTED: nose resistant to fluoxetine protein 6-like
Dcor_evm.model.contig_140_pilon.3	tRNA:m(4)X modification enzyme TRM13 homolog 
Dcor_evm.model.contig_140_pilon.4	Thioredoxin domain-containing protein 5 homolog
Dcor_evm.model.contig_141_pilon.1	uncharacterized protein LOC113391020
Dcor_evm.model.contig_143_pilon.1	hypothetical protein
Dcor_evm.model.contig_143_pilon.2	hypothetical protein
Dcor_evm.model.contig_146_pilon.1	DNA polymerase subunit gamma-1, mitochondrial
Dcor_evm.model.contig_147_pilon.1	hypothetical protein B9Z55_013634
Dcor_evm.model.contig_147_pilon.2	hypothetical protein
Dcor_evm.model.contig_148_pilon.1	Arginine-glutamic acid dipeptide repeats protein
Dcor_evm.model.contig_150_pilon.1	Basic helix-loop-helix neural transcription factor TAP
Dcor_evm.model.contig_150_pilon.2	hypothetical protein
Dcor_evm.model.contig_153_pilon.1	hypothetical protein
Dcor_evm.model.contig_153_pilon.2	CD151 antigen
Dcor_evm.model.contig_154_pilon.1	nucleic acid binding protein from transposon X element, partial
Dcor_evm.model.contig_154_pilon.2	hypothetical protein
Dcor_evm.model.contig_155_pilon.1	hypothetical protein
Dcor_evm.model.contig_156_pilon.1	coat protein
Dcor_evm.model.contig_16_pilon.1	uncharacterized protein LUCCR_94220
Dcor_evm.model.contig_161_pilon.1	hypothetical protein EAG_08093, partial
Dcor_evm.model.contig_161_pilon.2	hypothetical protein evm_014080
Dcor_evm.model.contig_161_pilon.3	hypothetical protein BDFB_013312, partial
Dcor_evm.model.contig_163_pilon.1	Ras-like GTP-binding protein RhoL
Dcor_evm.model.contig_168_pilon.1	PREDICTED: uncharacterized protein LOC103312157, partial
Dcor_evm.model.contig_169_pilon.1	PREDICTED: dnaJ homolog subfamily C member 30-like
Dcor_evm.model.contig_17_pilon.1	PREDICTED: uncharacterized protein LOC109534252
Dcor_evm.model.contig_17_pilon.2	uncharacterized protein LOC105841530
