species	N50 	Longest Scaffold	Flow_estimate	Assembly Size	BUSCO_S	BUSCO_D	BUSCO_F	BUSCO_M	RM_repeat	dnapipete_repeat	Predicted Genes	GS_kmergenie	GS_genomeScope v1	GS_findGSE	GS_covEST-repeat	GS_covEST-basic
Agrilus	1113	4601	NA	353	90.7	7.6	0.4	1.3	0.343	0.460971028	22159	NA	NA	NA	NA	NA
Photinus	47017	70910	422	472	90.9	7.9	0.5	0.7	0.426	0.315514	15773	NA	NA	NA	NA	NA
Tribolium	15265	31381	204	166	98.5	0.4	0.8	0.3	0.285	NA	22610	NA	NA	NA	NA	NA
Aethina	299	2684	NA	234	87.7	7.6	2.3	2.4	0.4384	0.686833856	17463	NA	NA	NA	NA	NA
Dendroctonus	629	4163	205	253	92.3	4.2	1.4	2.1	0.2111	0.26745547	20551	NA	NA	NA	NA	NA
Leptinotarsa	139	1851	450	642	91.3	1	3.8	3.9	0.54	0.496610681	19038	NA	NA	NA	NA	NA
Anoplophora	678	5512	971	707	96.6	1.8	1	0.6	0.5089	0.42744	20632	NA	NA	NA	NA	NA
Onthophagus	337	4935	NA	267	96.2	3.3	0.1	0.4	0.429	0.379751767	21668	NA	NA	NA	NA	NA
Nicrophorus	122	1795	204	195	98.4	1.3	0.1	0.2	0.3995	0.152	19577	NA	NA	NA	NA	NA
Ocypus	57300	69741	NA	1084	97.6	1.2	0.3	0.9	NA	NA	NA	NA	NA	NA	NA	NA
Philonthus	108900	181105	NA	1031	96.9	2.1	0.4	0.6	NA	NA	NA	NA	NA	NA	NA	NA
Tachinus	4	10450		580	80.8	1.7	11.2	6.3	0.2817	0.371881411	48477	993917037	554840979	1025974899	607146757	491377046
Sepedophilus	3	6759		759	44.7	1.2	33.7	20.4	0.3779	0.45913	62782	NA	NA	NA	2626119740	1445151004
Coproporus	5	5639	NA	210	83.4	1.7	9.5	5.4	0.1361	0.39886	22341	390753061	229880035	338573223	587340799	279137934
Gymnusa	4	101	NA	406	71.8	0.8	15.3	12.1	0.3804	0.51177	38996	524120693	443185917	580224625	479921976	492013743
Deinopsis	4	6045	NA	153	79.8	0.3	12.8	7.1	0.169	0.4085	19055	188597362	151186455	187541483	231554564	169719104
Adinopsis	16	446	NA	205	95.6	1	2.6	0.8	0.1303	0.2419	20114	345927004	185345999	210345259	402316403	234132622
Cypha	2	55.2	NA	125	53.1	0.6	18.3	28	0.2602	0.50056	19407	224309234	183732762	739456234	403332135	213588587
Holobus	28	1340	NA	117	97.9	0.1	1.2	0.8	0.122	0.34415	18473	143234304	133403798	169701265	184385429	144707057
Oligota	4	8395	NA	160	35.9	0.2	18.6	45.3	0.1093	0.35639	14474	NA	137754616	875255761	843869987	202101008
Aleochara 1	64	496	238	80.9	98.9	0.3	0.3	0.6	0.0559	0.16547	12951	97391461	90147905	111450834	195556675	100587234
Aleochara 2	31	2897	NA	108	97.1	0.5	1	1.4	0.042	0.34045	14072	112243072	110469095	153410189	217543836	129534777
Aleochara 3	29	4073	NA	153	98.2	0.4	0.9	0.5	0.102	0.28587	25927	168725481	143432743	187437033	218470805	172368509
Leptusa	11	6138	NA	170	89.6	0.1	5.3	5	0.0893	0.18733	21594	171905539	169227349	214313906	253440121	154722557
Oxypoda	14	8504	NA	183	89.5	0.1	6.3	4.1	0.029	0.6893	21479	63934748	156984254	204586662	582299494	182116302
Liometoxenus	8	2363		182	94.9	0.5	3.5	1.1	0.2649	0.485	25769	268891564	194177038	253302428	289999808	204005068
Myllaena	11	2136	NA	119	94.3	1	1.9	2.8	0.0516	0.32129	14859	137776337	124200735	143015813	187795329	137012905
Falagria	13	12520	NA	203	89.9	0.7	5.1	4.3	0.0622	0.28021	21756	172012739	141972864	174787827	270736696	169308890
Lissagria	7	7669	NA	226	91.5	0.8	4.8	2.9	0.1244	0.67084	22085	384659371	206138075	311522363	443479092	314120235
Drusilla	5	11080	932	265	73.6	0.3	17.5	8.6	0.1493	0.58985	30027	400661282	289268628	347795552	691140947	346998577
Earota	13	11820	NA	206	86.1	1.1	8	4.8	0.0478	0.59987	17720	250018109	139022359	209785108	348349591	198204776
Geostiba	11	7302	NA	191	92.8	0.5	4.3	2.4	0.1159	0.62598	17850	197560204	218114369	153050765	300301832	189303437
Atheta	24	10060	NA	230	90.9	4	2.6	2.5	0.0562	0.33843	25007	173624066	137675165	164888714	226117516	183387315
Dalotia 1	12000	15370	296	123	90.9	5.4	1.3	2.4	0.4252	0.675475	16094	159640943	113007897	137389719	216660202	145107631
Dalotia 2	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.5953	NA	NA	NA	NA	NA	NA
Ecitophya	15	8494	NA	220	91.8	0.6	3	4.6	0.0884	0.605347012	22542	261983351	195133630	266532439	228050287	226055589
Ecitomorpha	10	11800	NA	234	89.4	0.9	4.7	5	0.0976	0.57784	22872	254401746	185393919	272146052	455620773	242973987
Ecitodaemon	19	9634	NA	188	86.2	1.2	6.1	6.5	0.0471	0.53362484	15583	NA	144583785	164650549	212912993	169492080
