Projection_ID	confidence_level
evm.model.hic_scaffold_36_pilon.11.35197	partial
evm.model.hic_scaffold_2_pilon.201.4931	average_confidence
evm.model.hic_scaffold_8_pilon.453.417	partial
evm.model.hic_scaffold_8_pilon.453.19577	partial
evm.model.hic_scaffold_1_pilon.459.20	partial
evm.model.hic_scaffold_8_pilon.824.-1	partial
evm.model.hic_scaffold_41_pilon.1.11650	average_confidence
evm.model.hic_scaffold_8_pilon.427.417	partial
evm.model.hic_scaffold_9_pilon.377.5508	average_confidence
evm.model.hic_scaffold_10_pilon.649.-1	partial
evm.model.hic_scaffold_8_pilon.83.-1	partial
evm.model.hic_scaffold_10_pilon.1279.797	average_confidence
evm.model.hic_scaffold_5_pilon.1204.246	average_confidence
evm.model.hic_scaffold_6_pilon.669.1175	partial
evm.model.hic_scaffold_6_pilon.1488.9948	average_confidence
evm.model.hic_scaffold_7_pilon.1533.8740	average_confidence
evm.model.hic_scaffold_13_pilon.6.894	average_confidence
evm.model.hic_scaffold_6_pilon.50.14495	partial
evm.model.hic_scaffold_3_pilon.319.5808	average_confidence
evm.model.hic_scaffold_6_pilon.229.1	partial
evm.model.hic_scaffold_6_pilon.499.214	average_confidence
evm.model.hic_scaffold_9_pilon.985.32263	partial
evm.model.hic_scaffold_9_pilon.1716.560	average_confidence
evm.model.hic_scaffold_10_pilon.825.15776	average_confidence
evm.model.hic_scaffold_10_pilon.825.972	average_confidence
evm.model.hic_scaffold_10_pilon.825.21385	partial
evm.model.hic_scaffold_6_pilon.1038.165	average_confidence
evm.model.hic_scaffold_3_pilon.883.2055	partial
evm.model.hic_scaffold_3_pilon.822.3193	partial
evm.model.hic_scaffold_3_pilon.822.33067	partial
evm.model.hic_scaffold_9_pilon.1809.7638	partial
evm.model.hic_scaffold_3_pilon.697.4489	average_confidence
evm.model.hic_scaffold_5_pilon.1191.2559	average_confidence
evm.model.hic_scaffold_5_pilon.162.4865	average_confidence
evm.model.hic_scaffold_15_pilon.22.17552	average_confidence
evm.model.hic_scaffold_1_pilon.3.-1	average_confidence
evm.model.hic_scaffold_6_pilon.1043.3380	partial
evm.model.hic_scaffold_6_pilon.1043.165	average_confidence
evm.model.hic_scaffold_2_pilon.139.3406	average_confidence
evm.model.hic_scaffold_2_pilon.139.23867	partial
evm.model.hic_scaffold_4_pilon.182.4855	average_confidence
evm.model.hic_scaffold_30_pilon.6.10583	partial
evm.model.hic_scaffold_30_pilon.6.8836	partial
evm.model.hic_scaffold_30_pilon.6.11205	partial
evm.model.hic_scaffold_47_pilon.9.-1	partial
