Projection_ID	confidence_level
evm.model.WTDall_ctg1282.3.30669	partial
evm.model.hic_scaffold_1_pilon.965.2790	average_confidence
evm.model.hic_scaffold_4_pilon.1179.449	partial
evm.model.hic_scaffold_10_pilon.345.8996	average_confidence
evm.model.hic_scaffold_6_pilon.976.1349	partial
evm.model.hic_scaffold_10_pilon.28.26101	partial
evm.model.hic_scaffold_10_pilon.28.16567	partial
evm.model.hic_scaffold_10_pilon.28.3998	partial
evm.model.hic_scaffold_4_pilon.828.331	high_confidence
evm.model.hic_scaffold_9_pilon.424.2979	average_confidence
evm.model.hic_scaffold_9_pilon.424.9742	average_confidence
evm.model.hic_scaffold_9_pilon.424.8842	partial
evm.model.hic_scaffold_9_pilon.424.10046	partial
evm.model.hic_scaffold_9_pilon.424.13467	partial
evm.model.hic_scaffold_9_pilon.424.14566	partial
evm.model.hic_scaffold_9_pilon.424.24516	partial
evm.model.hic_scaffold_7_pilon.1611.1791	partial
evm.model.hic_scaffold_7_pilon.556.9	partial
evm.model.hic_scaffold_7_pilon.556.13525	partial
evm.model.hic_scaffold_16_pilon.145.579	partial
evm.model.hic_scaffold_3_pilon.468.405	high_confidence
evm.model.hic_scaffold_6_pilon.537.2728	partial
evm.model.hic_scaffold_1_pilon.928.54	average_confidence
evm.model.hic_scaffold_6_pilon.780.30641	partial
evm.model.hic_scaffold_9_pilon.439.12057	average_confidence
evm.model.hic_scaffold_9_pilon.439.18160	partial
evm.model.hic_scaffold_6_pilon.1322.1961	average_confidence
evm.model.hic_scaffold_6_pilon.1322.5189	partial
evm.model.hic_scaffold_45_pilon.10.10397	partial
evm.model.hic_scaffold_45_pilon.10.7291	partial
evm.model.hic_scaffold_45_pilon.10.10618	partial
evm.model.hic_scaffold_3_pilon.323.1	high_confidence
evm.model.hic_scaffold_8_pilon.857.15175	partial
evm.model.hic_scaffold_8_pilon.857.20226	partial
evm.model.hic_scaffold_2_pilon.303.-1	average_confidence
evm.model.hic_scaffold_42_pilon.8.346	partial
evm.model.hic_scaffold_10_pilon.593.18509	partial
evm.model.hic_scaffold_10_pilon.593.21896	partial
evm.model.hic_scaffold_10_pilon.593.35726	partial
evm.model.hic_scaffold_10_pilon.593.22168	partial
evm.model.hic_scaffold_10_pilon.593.3429	partial
evm.model.hic_scaffold_4_pilon.856.1426	high_confidence
evm.model.hic_scaffold_4_pilon.143.4568	average_confidence
evm.model.hic_scaffold_1_pilon.871.1275	average_confidence
evm.model.hic_scaffold_9_pilon.1730.10550	average_confidence
evm.model.hic_scaffold_6_pilon.1517.2	partial
evm.model.hic_scaffold_8_pilon.51.10	partial
evm.model.hic_scaffold_8_pilon.51.8165	partial
evm.model.hic_scaffold_9_pilon.652.6212	average_confidence
evm.model.hic_scaffold_3_pilon.301.13	partial
evm.model.hic_scaffold_1_pilon.1013.52	average_confidence
evm.model.hic_scaffold_7_pilon.187.-1	partial
evm.model.hic_scaffold_56_pilon.17.9077	partial
evm.model.hic_scaffold_7_pilon.657.4457	average_confidence
evm.model.hic_scaffold_10_pilon.457.-1	partial
evm.model.hic_scaffold_10_pilon.1247.2408	average_confidence
evm.model.hic_scaffold_1_pilon.892.2189	average_confidence
evm.model.hic_scaffold_1_pilon.822.64	high_confidence
evm.model.hic_scaffold_7_pilon.1614.11541	average_confidence
evm.model.hic_scaffold_4_pilon.1103.4649	partial
evm.model.hic_scaffold_4_pilon.1103.1644	average_confidence
evm.model.hic_scaffold_5_pilon.732.-1	average_confidence
evm.model.hic_scaffold_16_pilon.214.11026	partial
evm.model.hic_scaffold_4_pilon.497.21481	partial
evm.model.hic_scaffold_57_pilon.2.4144	average_confidence
evm.model.hic_scaffold_7_pilon.28.13642	partial
evm.model.hic_scaffold_7_pilon.28.22504	partial
evm.model.hic_scaffold_7_pilon.1575.53	high_confidence
evm.model.hic_scaffold_9_pilon.510.-1	average_confidence
evm.model.hic_scaffold_7_pilon.1154.239	average_confidence
evm.model.hic_scaffold_25_pilon.33.12417	partial
evm.model.hic_scaffold_8_pilon.548.72	partial
evm.model.hic_scaffold_6_pilon.377.-1	partial
evm.model.hic_scaffold_4_pilon.794.1265	partial
evm.model.hic_scaffold_2_pilon.562.1062	partial
evm.model.hic_scaffold_9_pilon.1414.13841	average_confidence
evm.model.hic_scaffold_4_pilon.869.2305	average_confidence
evm.model.hic_scaffold_4_pilon.958.8711	partial
evm.model.hic_scaffold_4_pilon.958.13432	partial
evm.model.hic_scaffold_1_pilon.891.57	high_confidence
evm.model.hic_scaffold_6_pilon.1113.101	high_confidence
evm.model.hic_scaffold_4_pilon.369.-1	partial
evm.model.hic_scaffold_2_pilon.426.20917	partial
evm.model.hic_scaffold_2_pilon.426.32474	partial
evm.model.hic_scaffold_8_pilon.596.2630	partial
evm.model.hic_scaffold_4_pilon.235.58	average_confidence
evm.model.hic_scaffold_6_pilon.186.3	partial
evm.model.hic_scaffold_6_pilon.186.882	partial
evm.model.hic_scaffold_5_pilon.273.2252	partial
evm.model.hic_scaffold_3_pilon.477.1	partial
evm.model.hic_scaffold_3_pilon.477.1180	partial
evm.model.hic_scaffold_3_pilon.477.2555	partial
evm.model.hic_scaffold_10_pilon.17.24491	partial
evm.model.hic_scaffold_10_pilon.17.28908	partial
evm.model.hic_scaffold_6_pilon.1363.2	partial
evm.model.hic_scaffold_6_pilon.1363.31941	partial
evm.model.hic_scaffold_11_pilon.7.29753	average_confidence
evm.model.hic_scaffold_9_pilon.299.28468	partial
evm.model.hic_scaffold_5_pilon.834.2232	partial
evm.model.hic_scaffold_8_pilon.505.15	high_confidence
evm.model.hic_scaffold_4_pilon.855.2459	average_confidence
evm.model.hic_scaffold_9_pilon.1237.1023	partial
evm.model.hic_scaffold_4_pilon.643.1347	partial
evm.model.hic_scaffold_9_pilon.1256.2407	average_confidence
evm.model.hic_scaffold_9_pilon.1895.4298	high_confidence
evm.model.hic_scaffold_4_pilon.1347.13473	partial
evm.model.hic_scaffold_4_pilon.1347.25634	partial
evm.model.hic_scaffold_4_pilon.1347.26052	partial
evm.model.contig_49_pilon.23.-1	average_confidence
evm.model.scaffold4495_size1200.1.15101	average_confidence
evm.model.hic_scaffold_4_pilon.230.58	partial
evm.model.hic_scaffold_4_pilon.230.1566	average_confidence
