Projection_ID	confidence_level
evm.model.hic_scaffold_6_pilon.1504.2588	partial
evm.model.hic_scaffold_3_pilon.1208.22735	partial
evm.model.hic_scaffold_3_pilon.1208.33325	partial
evm.model.hic_scaffold_2_pilon.4.87	average_confidence
evm.model.hic_scaffold_7_pilon.205.23	partial
evm.model.hic_scaffold_7_pilon.205.10058	partial
evm.model.hic_scaffold_9_pilon.750.674	partial
evm.model.hic_scaffold_10_pilon.1116.33874	partial
evm.model.hic_scaffold_10_pilon.1116.36943	partial
evm.model.hic_scaffold_2_pilon.525.4690	partial
evm.model.hic_scaffold_2_pilon.525.10100	partial
evm.model.hic_scaffold_10_pilon.1142.23965	partial
evm.model.hic_scaffold_9_pilon.1298.9279	average_confidence
evm.model.hic_scaffold_9_pilon.1298.13425	partial
evm.model.hic_scaffold_9_pilon.1298.18402	partial
evm.model.hic_scaffold_9_pilon.1298.36834	partial
evm.model.hic_scaffold_1_pilon.370.71	partial
evm.model.hic_scaffold_1_pilon.370.599	average_confidence
evm.model.hic_scaffold_9_pilon.1557.6669	partial
evm.model.hic_scaffold_6_pilon.1775.897	average_confidence
evm.model.hic_scaffold_6_pilon.1775.11867	partial
evm.model.hic_scaffold_6_pilon.1775.14275	partial
evm.model.hic_scaffold_6_pilon.1775.21284	partial
evm.model.hic_scaffold_6_pilon.1775.22646	partial
evm.model.hic_scaffold_6_pilon.1775.24727	partial
evm.model.hic_scaffold_6_pilon.1775.25723	average_confidence
evm.model.hic_scaffold_6_pilon.1775.28498	partial
evm.model.hic_scaffold_6_pilon.1775.29572	partial
evm.model.hic_scaffold_6_pilon.1775.30622	partial
evm.model.hic_scaffold_6_pilon.1775.31609	partial
evm.model.hic_scaffold_6_pilon.1775.32160	partial
evm.model.hic_scaffold_6_pilon.1775.32967	partial
evm.model.hic_scaffold_6_pilon.1775.32974	partial
evm.model.hic_scaffold_6_pilon.1775.34035	partial
evm.model.hic_scaffold_6_pilon.1775.35505	partial
evm.model.hic_scaffold_6_pilon.1775.35659	partial
evm.model.hic_scaffold_14_pilon.41.5463	average_confidence
evm.model.hic_scaffold_14_pilon.41.7539	partial
evm.model.hic_scaffold_14_pilon.41.27774	average_confidence
evm.model.hic_scaffold_14_pilon.41.33982	partial
evm.model.hic_scaffold_7_pilon.1018.1953	partial
evm.model.hic_scaffold_9_pilon.427.10573	average_confidence
evm.model.hic_scaffold_5_pilon.1034.12150	partial
evm.model.hic_scaffold_1_pilon.826.321	partial
evm.model.hic_scaffold_1_pilon.608.22	high_confidence
evm.model.hic_scaffold_5_pilon.1354.2994	average_confidence
evm.model.hic_scaffold_5_pilon.61.2724	partial
evm.model.hic_scaffold_1_pilon.306.160	high_confidence
evm.model.hic_scaffold_6_pilon.618.3513	average_confidence
evm.model.hic_scaffold_9_pilon.722.23118	average_confidence
evm.model.hic_scaffold_8_pilon.340.1033	average_confidence
evm.model.hic_scaffold_2_pilon.531.13683	partial
evm.model.hic_scaffold_4_pilon.692.23898	partial
evm.model.hic_scaffold_9_pilon.233.37262	average_confidence
evm.model.hic_scaffold_9_pilon.233.36595	average_confidence
evm.model.hic_scaffold_25_pilon.35.8969	partial
evm.model.hic_scaffold_25_pilon.35.2520	partial
evm.model.hic_scaffold_6_pilon.571.19584	average_confidence
evm.model.hic_scaffold_6_pilon.1814.2946	partial
evm.model.hic_scaffold_6_pilon.1814.29610	partial
evm.model.hic_scaffold_9_pilon.1186.847	partial
evm.model.hic_scaffold_9_pilon.1186.9717	partial
evm.model.hic_scaffold_9_pilon.1186.29475	partial
evm.model.hic_scaffold_9_pilon.1186.32953	partial
evm.model.hic_scaffold_7_pilon.1497.488	average_confidence
evm.model.hic_scaffold_5_pilon.1243.-1	partial
evm.model.hic_scaffold_5_pilon.1328.10349	average_confidence
evm.model.hic_scaffold_5_pilon.1328.25689	partial
evm.model.hic_scaffold_9_pilon.1149.17880	partial
evm.model.hic_scaffold_9_pilon.1149.3398	partial
evm.model.hic_scaffold_9_pilon.1149.3986	partial
evm.model.hic_scaffold_7_pilon.1292.13086	average_confidence
evm.model.hic_scaffold_9_pilon.1352.3793	high_confidence
evm.model.hic_scaffold_1_pilon.569.-1	average_confidence
evm.model.hic_scaffold_8_pilon.736.6273	high_confidence
evm.model.hic_scaffold_3_pilon.679.33397	average_confidence
evm.model.hic_scaffold_1_pilon.726.14	average_confidence
evm.model.hic_scaffold_17_pilon.3.10706	partial
evm.model.hic_scaffold_17_pilon.3.13272	partial
evm.model.hic_scaffold_4_pilon.900.158	average_confidence
evm.model.hic_scaffold_3_pilon.819.-1	partial
evm.model.hic_scaffold_13_pilon.55.14096	partial
evm.model.hic_scaffold_3_pilon.641.4111	partial
evm.model.hic_scaffold_3_pilon.641.12433	partial
evm.model.hic_scaffold_6_pilon.1395.2375	high_confidence
evm.model.hic_scaffold_64_pilon.15.10257	partial
evm.model.hic_scaffold_8_pilon.124.1781	average_confidence
evm.model.hic_scaffold_6_pilon.754.-1	partial
evm.model.hic_scaffold_1_pilon.1004.16	average_confidence
evm.model.hic_scaffold_5_pilon.24.3363	average_confidence
evm.model.hic_scaffold_1_pilon.703.63	high_confidence
evm.model.hic_scaffold_1_pilon.703.9287	high_confidence
evm.model.hic_scaffold_7_pilon.1566.5943	average_confidence
evm.model.hic_scaffold_1_pilon.613.22	high_confidence
evm.model.hic_scaffold_3_pilon.955.18562	average_confidence
evm.model.hic_scaffold_4_pilon.121.2328	partial
evm.model.hic_scaffold_3_pilon.730.8448	partial
evm.model.hic_scaffold_3_pilon.730.9942	partial
evm.model.hic_scaffold_8_pilon.793.745	high_confidence
evm.model.hic_scaffold_6_pilon.1328.2	high_confidence
evm.model.hic_scaffold_16_pilon.234.743	high_confidence
evm.model.hic_scaffold_2_pilon.312.21031	average_confidence
evm.model.hic_scaffold_9_pilon.1544.19907	partial
evm.model.hic_scaffold_1_pilon.813.-1	average_confidence
evm.model.hic_scaffold_9_pilon.1833.3594	high_confidence
evm.model.hic_scaffold_1_pilon.1093.13880	average_confidence
evm.model.hic_scaffold_1_pilon.1093.16218	partial
evm.model.hic_scaffold_1_pilon.1093.19987	average_confidence
evm.model.hic_scaffold_1_pilon.1093.33367	partial
evm.model.hic_scaffold_7_pilon.1613.9663	average_confidence
evm.model.hic_scaffold_7_pilon.1613.26777	partial
evm.model.hic_scaffold_1_pilon.266.469	average_confidence
evm.model.hic_scaffold_7_pilon.691.19719	partial
evm.model.hic_scaffold_7_pilon.294.33943	partial
evm.model.hic_scaffold_10_pilon.787.7744	partial
evm.model.hic_scaffold_10_pilon.787.33011	partial
evm.model.hic_scaffold_4_pilon.362.6265	partial
evm.model.hic_scaffold_5_pilon.1274.763	partial
evm.model.hic_scaffold_3_pilon.183.1813	partial
evm.model.hic_scaffold_3_pilon.183.10016	partial
evm.model.hic_scaffold_6_pilon.1744.1530	average_confidence
evm.model.hic_scaffold_6_pilon.1102.1849	average_confidence
evm.model.hic_scaffold_7_pilon.1131.30235	average_confidence
